"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Congo, Rep.","COG","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.04","10.65","9.59","8.95","9.19","8.95","8.11","8.13","7.99","8.26","8.03","7.74","8.06","7.62","7.28","6.71","6.58","6.57","6.62","7.05","6.56","6.71","","","",
"Colombia","COL","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.12","5.02","4.72","4.63","4.57","4.22","4.24","4.18","4.22","4.1","3.89","3.75","3.82","3.72","3.8","4.13","4.31","4.62","5.03","5.11","4.81","4.96","","","",
"Comoros","COM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.89","6.7","6.5","6.19","6.13","5.88","5.97","5.86","5.98","5.78","6.35","5.99","6.14","6.14","6.42","6.37","6.39","6.27","6.25","6.18","6.21","6","","","",
"Cabo Verde","CPV","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.24","12.26","12.46","12.49","12.58","13.39","13.1","13.39","13.79","14.21","14.6","14.69","14.9","15.16","15.1","15.03","14.72","14.8","14.45","14.56","13.69","14.9","","","",
"Costa Rica","CRI","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.97","4.86","6.53","7.36","7.63","6.23","7.95","5.5","5.36","5.51","6.52","6.52","6.22","6.4","5.36","6.37","6.83","5.58","7.53","7.06","6.36","8.06","","","",
"Caribbean small states","CSS","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9114914781378","15.3200522897013","14.9852348537256","14.4013146463301","14.2867268651315","13.6170748344622","13.468293948737","13.3601177867006","13.761865895023","13.6294222348683","14.022559459586","13.8792368269799","13.8861904207238","14.6848426621472","14.72074543233","14.9237379113178","15.5162262690513","15.1618030632895","14.7522344900705","14.5975265057752","15.1575293030223","13.1501372353444","","","",
"Cuba","CUB","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.27","15.3","14.75","13.81","13.96","12.99","12.74","12.21","12.85","13.69","14.36","14.05","13.74","13.91","13.42","14.08","13.39","14.6","14.08","13.79","14.61","13.79","","","",
"Curacao","CUW","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Suicide mortality rate (per 100,000 population)","SH.STA.SUIC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.92","1.99","2.06","2.08","0.89","2.36","3.31","3.02","5.98","4.49","5.21","4.37","5.74","6.01","5.7","4.95","5.06","4.41","5.56","4.5","3.86","3.02","","","",
