"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bosnia and Herzegovina","BIH","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4480000","4480000","7352070","4273150","3667239","3138310","2521780","2443404","1141410","1093543","758741","740121","706006","673474","610073","579883","526314","509643","434793","300127","240079","214327","172967","125718","4320","3562","2436","","",
"Belarus","BLR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193186","3246708","3418710","5800","8510","29311","51313","65371","68962","71091","79464","77983","72963","66612","61901","57358","56482","52329","48260","45749","68264","115652","93759","98980","91315","89943","69690","49122","256295","279867","","",
"Belize","BLZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","124000","217000","96720","217000","253580","279000","279000","310000","933100","934650","3127014","3056838","2075802","909024","938854","980200","955664","939402","390158","323826","140138","126303","117263","96586","80392","67296","51776","36916","28254","22770","12864","6864","2321","1596","740","2209","","","1179","955","696","1548","1885","1498","","",
"Bermuda","BMU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","21700","21700","21700","","","","15500","15500","15500","15500","","","","5270","3720","5270","6820","8370","20400","34782","50082","68238","77788","76315","78157","37096","38770","39369","39537","38713","39462","58860","57544","57547","60079","64661","67263","66756","66255","62543","61076","56414","56090","49197","44217","36277","32962","28509","27024","20088","14508","7819","","",
"Brazil","BRA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","1240000","1240000","1178000","1147000","1091200","1054000","992000","930000","1116000","1085000","775000","744000","744000","167400","167400","164300","164300","164300","163680","165292","165261","544170","549678","554778","632196","235626","229800","247692","253280","262620","266304","304648","322847","356266","357545","367398","373260","369750","2140077","392253","418534","417931","393635","393628","394555","553888","557124","551203","471510","463694","1083884","1418538","1115208","877786","1650355","","",
"Barbados","BRB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","43","0","","","10","","","","","35","","",
"Brunei","BRN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","","","","","","","","",
"Bhutan","BTN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","93000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","",
"Botswana","BWA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","123380","111600","135160","275590","139500","139500","76880","74400","88040","149110","589000","721990","40300","39990","40300","142600","154070","176080","149730","164300","72075","39091","120227","107508","50694","52521","53306","29936","23811","31515","239078","145021","397844","401022","313933","317491","311886","335488","334934","253837","307969","299209","286563","291456","233909","210686","195637","136227","119065","97186","83834","36733","14928","12384","9529","5327","","",
"Central African Republic","CAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","102300","637360","1333000","1085000","713000","713000","841650","868000","681070","217000","155000","155000","","","","31000","217000","124000","230950","210490","1302000","1436230","402380","131750","97588","77283","436968","1246746","1942080","4501158","5065811","3792056","4095304","4311615","4817181","5522980","6234093","5514428","5680955","5012456","2752089","2653421","1309828","775915","757572","2677467","2070918","1472457","1177207","1088503","569294","469182","690529","461368","272762","236620","217992","167490","145769","230391","","",
"Canada","CAN","Refugee population by country or territory of asylum","SM.POP.REFG","1507499","1379252","380742","339326","315518","309380","316975","309721","556450","597525","574058","533076","648923","414098","353710","506819","848997","915647","970145","1795303","2873049","2988865","3335321","3749357","3501946","2858014","3061033","3250133","3609454","4208312","15785622","17433432","18739746","18690582","19775418","17037445","15504342","14020416","13369170","13810933","14223026","14473077","14554135","14906358","15553912","15894367","16093709","18100879","17712123","16773656","15892549","14509580","13755349","12186462","11038093","8696894","5547383","4819028","4678221","3357987","2621436","2342250","1828073","1186136","","",
"Central Europe and the Baltics","CEB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3700086","6134130","42311808","27471781","17789782","19396379","15300521","6822496","3270715","3418552","2966950","3003423","1950061","1921632","1841069","2023165","2137030","2404467","2616461","2664647","2669497","2634755","2369411","2301423","2772876","2747419","2527076","2261584","2047885","1656824","981654","815418","25961442","13491058","","",
"Switzerland","CHE","Refugee population by country or territory of asylum","SM.POP.REFG","620000","620000","620000","620000","620000","620000","635500","651000","806000","930000","961000","930000","1085000","1085000","1085000","1085000","1085000","930000","930000","930000","992000","1240000","1035524","1001672","967231","952506","971633","982917","990419","1139653","4176186","4653444","5296860","5771772","7981290","9289438","9454198","9318780","9172250","9216613","6456419","6550631","6059606","5615386","5243924","5186500","5142881","4701965","4705433","4574128","4686048","4436143","4262314","3986768","4633136","4693194","4711611","4278855","4264711","3635358","2779572","2138922","2372162","1347549","","",
"Channel Islands","CHI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","201500","186000","217000","217000","294500","114700","102300","124000","161200","95480","62000","46500","46500","77500","77500","77500","16740","","","9300","9300","5916","7344","14484","24316","22983","31665","34812","30830","34181","36171","40966","43614","46229","52522","62621","87055","120099","141721","164340","152361","155368","147157","142287","132313","130923","118057","98561","85306","83136","67532","49422","37170","27729","16366","","",
