"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"United Arab Emirates","ARE","CO2 emissions (kt)","EN.ATM.CO2E.KT","1088.87599775696","1088.87599775696","1833.09499816895","2199.75399551391","1833.09499816895","2199.75399551391","2566.31300430298","91674.0700014648","124285.200683594","2051987.09143125","1539647.92624688","2139138.881375","2368364.8201875","3093003.26684687","3163375.16505938","3137432.5485625","3998271.19714375","3897833.5766125","4506925.87443125","3676438.63285","3720128.510075","3724870.5772625","3612174.15580313","3497892.23114063","4494155.21491563","4964943.752","4756451.19308125","4859876.36260625","4939652.64393751","5578051.8976625","6168911.76735626","6760733.746725","6786214.87323124","7478824.01287501","8319341.26998749","8208309.61882501","5977676.318675","5976361.691125","9369044.33818749","9011120.44675002","11697337.506375","10835099.942","9451414.06010351","11359364.8577793","11529660.5645449","11435519.4513379","11853631.6202344","12767596.5113242","14141262.004207","13763991.9630898","13179539.7981445","11716794.2374141","11100451.2133516","11112100.9478828","10628126.9160273","5456606.66097266","5662262.60232422","3770176.57314453","3481166.68046875","2429464.20244141","1504709.6","","","","","",
"Argentina","ARG","CO2 emissions (kt)","EN.ATM.CO2E.KT","4832990.0787625","5067798.64920625","5318156.14719375","4961742.195825","5519903.54911876","5831632.89503124","6253930.80866251","6490845.296075","6841189.84529999","7656599.96443751","8245134.72125","8863765.11221249","8984243.30871249","9362248.44229999","9612509.41192501","9560287.15423751","10051573.883425","10154314.653025","10337309.515275","11150692.5725625","10961082.6547125","10286383.466475","10416039.3284625","10578791.784625","10714533.393275","10105236.6068625","10465392.6476375","11560668.268875","12212061.955325","11778552.055475","12645456.4536625","13217912.508525","13653027.796675","13326021.1154125","13839316.442175","14027228.5698125","14717791.2918625","14900352.794875","15079001.674","15658330.4","15064995.98475","13908666.2535","13009656.5526328","13803604.4376484","15490256.8045313","15480330.8579726","16398506.0825859","16415454.0412344","16640892.2589102","14664492.6902969","14671862.4408828","13118723.9835586","11469653.3628555","11494418.945","10072850.0954141","5339198.88920703","5298876.43864844","3411462.32929687","3364112.07558594","2185791.32441406","1236287.2","","","","","",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","6497.4854155309","6700.63471994379","7032.63363501152","7542.03373924075","8020.92868839219","8508.70520100663","8985.65537552916","9395.82683919357","9659.80459405777","10060.0627450464","10380.7364094917","11000.9424126776","11575.8797387103","12053.0222693107","12529.5749669952","13163.4854959043","13677.9025918092","14140.0152775179","14600.3299455038","14704.0327458055","15274.7188335468","15023.7754605273","15352.9145683414","15594.7364961373","15759.4085569271","17038.5005310064","17054.6345109389","17774.1492077338","18252.0785445022","17861.8935698411","402255.39331991","417375.335777399","655842.60363125","355897.045192578","322379.764247657","393986.430257812","293195.572826562","361882.040384765","373723.710695313","331875.878210938","376149.169960938","372976.421019531","319947.552331299","354577.528","370529.768961853","428603.562152588","422608.649084473","478544.568237061","502587.362228882","369416.657915527","343860.831610351","345019.733228881","347832.241160767","335380.486","286595.588076294","144724.530610352","142702.518686646","101741.699542236","107549.800152588","80414.4003051758","53972.8","","","","","",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","494.595010437012","164.864997756958","384.685004302979","1044.14498388672","824.324994506836","1318.91998205566","1758.5600065918","2418.02002050781","1758.5600065918","2198.19998535156","2088.28996777344","934.234989196777","769.370008605957","714.414999816894","2143.2449765625","1483.78500842285","2033.33495898438","2253.15499414063","2692.79497290039","3846.85006591797","6374.77992089844","7144.15004394531","9891.9001171875","6264.87008642578","3462.16500439453","3242.34496923828","3242.34496923828","3022.52502563477","3791.89496557617","3791.89496557617","4286.489953125","4286.489953125","4506.31598828125","4451.34297949219","4231.54094433594","4121.62492675781","4231.54094433594","3667.28496289062","3385.15697216797","3143.315984375","2857.523984375","2000.153984375","2000.153984375","1465.2","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","3592.91999633789","4670.79599981689","10060.1760172119","8263.71601904298","8982.29999084473","14730.9719941406","34132.7399194336","55330.9678886719","97008.8401757811","123237.15571875","45732.7920087891","42102.8719208985","37021.783980957","32666.2800585937","42895.2029296875","70691.8038564453","40262.2070424805","46495.5100087891","49061.2230703125","40695.4490600585","14298.2969765625","10632.0669802246","28736.3170747071","8102.59402087403","14664.9199853516","24930.3639567871","24930.3639567871","27496.7249267578","28596.593953125","28596.593953125","32012.9609882812","31071.5099619141","31408.8549619141","32140.7109970703","32394.1080146484","33604.5630410156","34475.4180410157","35458.4500507812","35773.9220380859","36763.1049731445","36889.2899760742","36252.7809760743","38493.7519335021","40598.7769856948","41228.3160238419","40589.9669856949","41379.3109904632","42903.6740333786","42268.5179570847","51790.4209427796","41507.411038147","35588.6800858307","33600.1019523163","30980.7019952317","26603.5919570846","14230.047038147","14521.756","9502","9798.59996185303","6668.09992370606","3796.8","","","","","",
"Australia","AUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","8731567.84297499","8967869.06995","9395901.166525","10001410.0245125","10788567.497975","11975165.9155375","11912230.1998875","12796545.6727125","13326871.274825","14082681.978525","14665767.3988","15161629.770725","15628881.466275","16902198.09685","17209814.832025","17570575.12755","17562189.54215","18929320.758","20171215.884975","20488001.266875","21986128.803225","22985115.371675","23373314.6227","22429113.89395","23570093.435125","24052522.8001","23952654.43535","25541155.78735","26047687.99965","27683770.052425","31122294.548","30711760.778825","31654637.408","32294856.10625","32653488.7025","33268773.03275","35115409.19125","34960535.013","36163200.35825","35806151.535","35909241.11","34639383.815","35990859.1274687","35143964.0402891","35109941.8062344","35097519.8373516","35395895.6479375","35291375.568","34808303.9387656","33067120.6101797","31100787.9851797","27043788.3735312","23602264.1418828","22970851.4031172","19033706.9515313","10519064.2321719","10770310.9939375","7446198.51464844","7423545.92929688","5094239.39511719","3031974.4","","","","","",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","3052068.25618125","3155268.69549375","3357350.20566875","3663278.65536875","3856518.5524125","3781956.239125","3888150.45894374","3958206.8412","4194150.15526251","4426050.469525","5068313.17448125","5214494.5648","5618086.4024625","6014415.41129999","5801015.28272501","5494677.72876249","5901761.45123124","5678722.75472499","5801274.4707","6215247.17278751","5283768.56499376","5672534.40695","5443319.95398126","5244978.37651875","5497135.26048125","5512034.92745001","5448080.90142501","5762635.56624999","5362436.1961375","5449862.5640875","6725316.11405625","7197648.73054375","6630179.05170624","6567797.12115625","6593560.52218125","6857640.3769625","7082850.0969125","6951708.32203125","7031105.18831249","6780307.07649999","6743404.545875","6913256.15100001","7043779.52673633","7454360.69933789","7331389.33120702","7300553.01645508","6950949.30189649","6562228.39545508","6221270.33642774","5305202.54567578","5515546.33133789","4617369.29457226","3852799.87144141","3873370.133","3117848.17394824","1752517.02771387","1761352.5722207","1251217.90244141","1199433.10549316","839828.686572266","473139.2","","","","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","81965.4125094494","84528.13439228","88716.286543565","95142.3444126321","101183.578825978","107336.853122394","113353.558011423","118527.85375316","121857.924168481","126907.1571533","130912.53163358","138730.587174117","145980.851907598","151995.15105551","158007.847866136","166000.061368898","172488.547676329","178315.27598414","184114.88444568","185418.985880973","192613.565558011","189456.864142255","193616.630023259","196670.669085394","198752.334131212","214892.375482741","215089.726252995","224164.319821895","230189.753525455","225267.265439813","1343503.16496195","1371462.52519181","6226502.35036875","5438174.11874375","4731687.0756875","3872475.81505","3532276.36496562","3320999.18960938","3454675.114125","3199555.5760625","3239249.94575","3049678.8676875","3106918.6867207","3150675.9427793","3208541.79386377","3333786.72766211","3593354.47808447","3052943.52164307","3328373.17405176","2725494.208","2528574.04686377","2230117.80674658","2067896.11744141","2086252.36213623","1851101.97571387","944439.460831055","953652.283713867","607272.996337891","617592.898168945","461715.993286133","274440","","","","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","4355.50399102783","4718.39599981689","4718.39599981689","3629.51999633789","4718.39599981689","4718.39599981689","5444.37999450684","7259.13999267579","6002.09500714111","7123.29098919678","6984.42499450684","6984.42499450684","8908.85999267579","7358.44099450683","8589.86399121093","9510.21199267578","10038.0570128784","10690.9719820557","14184.9969978027","15295.8659783936","15204.235013916","19479.3779677734","20803.0559838867","21796.6149941407","22441.9709956055","24451.0440380859","22969.8330131836","27017.4259992675","27264.6540080566","31281.0479633789","28358.8420036621","29730.8600344238","30321.298001831","30279.8439648438","30241.938980957","29547.2619956055","28859.7519992676","28610.9660102539","29969.060027832","22112.4780043945","22950.6619957466","17331.5019856949","18902.5020238418","15446.9160238418","18072.8370286102","17560.0830286102","17823.5510286102","15960.4490286102","20939.4570476837","20592.5350572205","19916.0150190735","20626.9279427795","21180.1949809265","11026.3800238419","12955.0549904633","10298.5398855591","12304.3199904633","9259.92011444091","5707.728","","","","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","9009306.39973749","9186920.95481249","9714056.06928749","10472655.4257125","10263378.315125","10439417.893975","10416211.343175","10640451.5056625","11737638.1941625","12238799.5807875","12562124.9936625","12153347.3689125","13083383.55495","13849835.772875","13619101.782225","12274952.8222625","13016574.743975","12671446.20065","13636653.8544875","14073661.764975","13564186.8178125","12445250.024625","11810938.630475","10212312.460925","10568378.06355","10489008.8186875","10294816.816675","10307573.8982","9927873.05873751","10620381.4214375","12196799.143125","12864573.053125","12781103.4564125","12200422.8976125","12717976.2073125","12750103.8037","13236038.1677125","12697541.131125","12914364.76175","12401440.787","12333957.75475","11936373.98725","11198073.8653965","11673429.003","11228092.6005723","10653024.8264414","10298206.3801035","9730519.24435157","9438140.71122071","8481522.29167578","8829528.35688281","6896262.54742773","5776848.52957226","5882377.99435156","4797047.6985586","2701737.06501367","2662400.77088281","1760923.00488281","1777305.91464844","1208963.70854492","682912.8","","","","","",
