"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","48.1826927745783","48.2641753944635","48.3444338062148","48.4223983242074","48.4961333405439","48.5643390632547","48.6283181563752","48.6867997672642","48.7368926952259","48.7743093817222","48.7970418210685","48.8051625448851","48.8009359799946","48.7879223527157","48.7704371338441","48.7518144899377","48.7305607764165","48.7072468690299","48.6880212609582","48.6802529396312","48.6879141249368","48.7124280835146","48.7483154313999","48.7855216093908","48.810366956589","48.8127916161436","48.7936375234946","48.7553835560048","48.6925291332957","48.597882692728","48.4661536322228","48.2895794278809","48.0690829029691","47.8217638371139","47.5786194933465","47.3686255361168","47.2054751369305","47.0875154520422","47.0117165070443","46.9664165333989","46.9416669354316","46.9400325041646","46.9632258132563","46.9963597661715","47.020693401406","47.0227038079847","46.9937305230266","46.9375284515697","46.8699948239365","46.8154083627472","46.7919385927292","46.8058804061552","46.8496196050327","46.9099352462544","46.9680878642139","47.0109473095569","47.0349066310372","47.044525091611","47.0434228477363","47.0384362591827","47.0346587545904","",
"American Samoa","ASM","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","46.7283676937856","46.8084719570948","46.8853515729915","46.9762438052239","47.084540518034","47.2052334792756","47.3210709039925","47.4477465708687","47.5664955296451","47.6767422466288","47.7455440608251","47.7996705721478","47.8326628621324","47.8499269430784","47.8734867211764","47.8833910421088","47.914294420477","47.9521250925002","47.9851059028337","48.0176922580229","48.0561258304909","48.0975578177345","48.1353188734218","48.166852814063","48.2115110708274","48.2641417819859","48.3353305049066","48.4144345599793","48.4714530910975","48.5090393020143","48.4768042473574","48.3989078799931","48.2756480863805","48.1156027182754","47.9263701433014","47.7443499534017","47.546169630643","47.3496311378248","47.1708163181688","47.0431475480087","46.9825147683766","46.9978759778273","47.0688906485479","47.1876536672088","47.3060599649022","47.4208833566571","47.5294686574382","47.6228444941627","47.6977305197086","47.7779186793171","47.8450528229013","47.9137254901961","47.9752674018605","48.0286307507376","48.0780449860634","48.1217471225059","48.1570038087177","48.1907257008122","48.2115037078582","48.2428049219997","48.2691365084552","",
"Australia","AUS","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.4867277806147","50.4559615908195","50.4229937369755","50.3900027837254","50.3595661402429","50.3334162454326","50.3122983227874","50.2955466566899","50.2809334607322","50.2656656546793","50.2476504784246","50.227328354739","50.2050827976068","50.1793282950374","50.1480863651912","50.1106997674484","50.0656873034637","50.0148837559149","49.9645985168642","49.9230139564263","49.8956019851389","49.8843661005461","49.886325727744","49.8957922278403","49.9050453746302","49.9085910379124","49.9060472760306","49.8990957204338","49.8875230378711","49.8714041274049","49.851320118392","49.8258241277171","49.7959766992398","49.7681133288694","49.7501141386652","49.7470944806957","49.7615297894792","49.7904058827864","49.8264246347735","49.8596059321743","49.8832473629953","49.894189409605","49.8951053240272","49.8920641863808","49.8935595156737","49.9048370340713","49.9283407141082","49.9598997702227","49.9907112657791","50.0094111255964","50.0091560760935","49.9877229578736","49.9496833537585","49.9035515593437","49.8608094293602","49.8291256587956","49.8105281726567","49.802040861402","49.8003767588704","49.8004658138649","49.7987618059865","",
"Austria","AUT","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","46.5807628105159","46.6114640706643","46.6456825334547","46.6828504226553","46.7219471200127","46.7622311589872","46.8034839455029","46.8455089839787","46.8878422050919","46.9297825743983","46.9708649460009","47.0111606909306","47.0506996327719","47.0887925661756","47.1250503193558","47.1591788402927","47.1911741706153","47.2214958201801","47.2515791656845","47.283306923984","47.3178882354874","47.3560302094336","47.3979098355642","47.4428719864266","47.4902777544084","47.539604726224","47.5899805846123","47.6418219296377","47.697789330417","47.761197330823","47.8339332419639","47.9164763638057","48.006305247213","48.0982791755136","48.1862514100852","48.2658505580584","48.336636794992","48.3995327699069","48.4538842793494","48.4990279608442","48.5347632179145","48.560224407876","48.576398292536","48.5868695078374","48.5967060209497","48.6094768185153","48.6268224195854","48.6484467683643","48.6743011619578","48.7035180464794","48.7356576053708","48.7700539693554","48.8071129574241","48.8488510833851","48.8978497899934","48.9551678846532","49.0219045726764","49.0956928999891","49.1705733517497","49.2387138156234","49.294845887369","",
"Azerbaijan","AZE","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","47.831261401274","47.9368289157822","48.0405271288393","48.1400199808719","48.2328929692456","48.3180446113216","48.3957947511907","48.4670528040378","48.5322576320446","48.5920744174308","48.6467072018088","48.6959075548612","48.739913683001","48.780869466257","48.8209596185458","48.8618076888982","48.9038315192425","48.9458545918585","48.9847391550786","49.0168799407298","49.0396513587401","49.0528557383597","49.0575638765236","49.0544193046972","49.0441521042592","49.0276754619065","49.0053670128969","48.9783398414097","48.9491837905902","48.9211614007089","48.8963872602122","48.8765952993669","48.861872792068","48.8512552636237","48.843422391076","48.8376444841936","48.8327881991324","48.8304582023875","48.8357242885176","48.85525754129","48.8930278847921","48.9507087398953","49.0250469218256","49.1087711879052","49.1920523029048","49.2680775910833","49.3347105201959","49.3936031311391","49.446358815802","49.4959819631228","49.5445041857345","49.5915332544597","49.636123585003","49.6790090466463","49.7209754738672","49.7624637304485","49.8039295438464","49.8449211787616","49.8842508952929","49.9201261500247","49.9514408223549","",
"Burundi","BDI","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","48.2779917260112","48.3153358635665","48.3514714582502","48.3875070165591","48.4238467404996","48.4606276285573","48.4985945416742","48.5365092685236","48.5690739691873","48.5905453250219","48.5980448798098","48.5905099150142","48.57049210638","48.5441261317238","48.5192358110458","48.5016397455848","48.4943527620947","48.4958668509041","48.5029109221364","48.5099990397999","48.5144430418233","48.5130973252205","48.5086399220773","48.5114987201904","48.5345035030651","48.584058539641","48.6642744812754","48.7667448489132","48.8704419658084","48.9503905074534","48.9919670289848","48.990399328077","48.9558916618548","48.9073575375462","48.869292980937","48.8579673040652","48.8775121243674","48.9214864761121","48.98114383749","49.0434061385655","49.0984689923969","49.1437498103607","49.1821444670276","49.2154112489201","49.2469104088681","49.278716477455","49.3111325801639","49.342819705259","49.3728975164482","49.4002079864858","49.4242246593494","49.4446668302374","49.4625238698022","49.4792408039075","49.4963939034371","49.5149425681056","49.5352403632265","49.5565811798456","49.5780053633975","49.5984546133294","49.6171277563686","",
"Belgium","BEL","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.2000805902593","49.1846653169169","49.1665737603469","49.1467888110801","49.1266406225051","49.1070048246771","49.0884002850109","49.0705365468904","49.052818586954","49.0343555197996","49.0145687699533","48.9933121349664","48.9712359993377","48.9493814777666","48.9293602774919","48.9122436878696","48.8984275385305","48.8876549363416","48.8797488454593","48.8741748332618","48.8704984163034","48.8685902892073","48.868568777649","48.8703890743439","48.8743606386598","48.8802739090313","48.8883611173809","48.8981552623588","48.9086315900244","48.9184708684968","48.9266774895831","48.9330491212168","48.9378055263999","48.9412753674292","48.9439497734767","48.9463008368884","48.9480827545131","48.9493861617786","48.9518132616634","48.9573103727967","48.967102461903","48.9819097267513","49.0007842831547","49.0218330326175","49.0420336870253","49.0593668177855","49.0741923053889","49.0874194303457","49.0981897367824","49.1055470502859","49.1095268328559","49.1078241415816","49.1021532463327","49.1013364881933","49.1167229959296","49.1554563896608","49.2213375828434","49.3093545288899","49.406680612915","49.4957764430955","49.5644980817311","",
"Benin","BEN","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","47.5671538733279","47.6305069417831","47.6920144936048","47.7517476357367","47.8091123570696","47.8635719037017","47.9160631416706","47.9659329040825","48.0125648913808","48.0535890498225","48.0883743576467","48.1168121078757","48.1402224958051","48.1598789342903","48.1778796785983","48.195544056399","48.2137292739028","48.2323147742282","48.2517970687865","48.2725667600474","48.2944914142809","48.3183800743745","48.3445981469643","48.3736392124636","48.4058122328636","48.4416508394761","48.4803737265308","48.5222904431982","48.5686019049641","48.6210845598151","48.680232094517","48.7461297183258","48.8168640826137","48.8884071585134","48.9560683313456","49.0175685524401","49.0718333543367","49.1204054225295","49.1669674009219","49.2160834272945","49.2700932981413","49.330001096552","49.3934122871947","49.4553062300181","49.5095679317802","49.5526371538355","49.5836199887232","49.6053243191138","49.6224465801954","49.6412238156775","49.6652663357268","49.6955076558302","49.7299690192074","49.7660974548292","49.80059472108","49.8312304828629","49.8577364093983","49.8809953332345","49.901798296653","49.9210288894702","49.9393641842689","",
"Burkina Faso","BFA","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","50.8974095358551","50.7638244752359","50.6292729029209","50.4965481001573","50.3699137714456","50.2520834323696","50.1437306424979","50.0436363296073","49.9501108382226","49.8610390559483","49.7746325422359","49.6906547147506","49.6098142304419","49.5308737401764","49.4528765928068","49.3756493159374","49.2990631861616","49.2238784184801","49.1521279104308","49.0862838251852","49.0280655979324","48.9779913605489","48.9358795204253","48.9017846561257","48.875596697967","48.8573104131157","48.8464117052125","48.84255437293","48.8451306216031","48.8535304595039","48.8670284176668","48.8857232958891","48.9087791797666","48.934480107926","48.9607382771848","48.9861227289125","49.0100392047073","49.0334208674807","49.0578665408787","49.0857858795451","49.1185912139016","49.1561409103319","49.1975699858221","49.2421900484756","49.2889723370632","49.3371708326706","49.3863805160294","49.4363714808607","49.4863654697416","49.5356149203975","49.5835589791128","49.6299974225706","49.6747560172279","49.7177819373528","49.758993346366","49.7982619696646","49.8355710366908","49.8709441180216","49.9045184797928","49.9364339523545","49.9668664407563","",
