General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.783376,50.934511,50.490213,53.12886,52.420768,72.140081,71.523873,74.498042,97.732599,122.00954,115.74193,121.40054,127.75311,117.92797,116.99225,113.91374,116.04047,95.642881,90.254653,83.22475,86.931991,122.41254,129.83197,113.4031,105.73819,97.510652,88.133637,80.190669,76.415599,73.303935,69.469755,76.625465,85.776013,97.094864,96.511849,98.262557,85.924229,76.267557,66.760615,69.450038,69.589541,72.829976,69.861625,79.81205,80.874041,83.753677,91.586298,97.800323,87.949081,80.092066,86.222475,89.902601,88.533527,95.929532,90.925082
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.329259,36.360822,31.868472,30.549341,28.040955,28.547973,27.790849,25.652232,27.99492,29.5513,37.842448,43.799845,45.962141,46.813034,46.286297,52.558957,52.19704,54.211737,65.778377,66.794161,65.597504,69.993538,69.654804,71.791097,73.463793,75.213939,77.135808,76.960899,77.906137,95.365187,87.955125,83.346015,84.683739,87.584021
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.6590098,7.2978961,6.0334512,5.3982726,5.9327435,5.1137137,4.9325993,5.6601652,5.5986701,5.1586871,4.733175,4.7166197,3.9080219,4.6729872,7.9759194,7.9902264,7.5965275,11.146951,11.43492,11.563137,10.789643,10.239326,9.4344783,8.5069187,9.047115,19.095612,18.418603,19.112143,20.183682,23.61853
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.360249,8.0514374,8.2784273,8.1100798,7.6720378,10.942378,13.533486,14.270992,15.864701,17.29675,18.543547,30.648862,48.806334,55.217894,65.355375,67.694989,75.708571,82.286975,84.317615,84.70365,91.614546,89.256378,88.934283,129.89762,144.79201,138.21098,128.95956,77.43302,86.010233,94.255795,93.632601,97.324758,107.36278,103.69073,103.10411,78.238785,79.631148,55.703958,56.056028,29.960088,39.436001,44.564936,39.358315,44.103875,44.15245,50.74312,51.803215,55.278048,58.448871,54.698545,53.697265,53.771685,46.927122,38.737322,32.296546
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.657802,10.733665,11.432127,12.820592,13.018718,13.907527,13.946668,14.322455,14.302894,13.646678,11.974829,10.813977,9.8419417,8.0319899,6.375619,6.7634159,7.0919399,8.2194047,10.650997,11.046546,10.893435,11.543959,13.851155,15.379206,15.179735,15.837202,16.442756,17.649202,16.535042,14.269444,13.854756,21.890134,39.285757,54.19552,56.193595,55.204461,55.363464,52.235383,46.843421,44.020711,42.447172,40.896738,40.128672,42.697444,42.576902,39.869797,38.005102,33.906356,32.562689,41.534102,50.112886,52.024432,57.856152,60.811707,64.812611,68.764273,68.649202,66.580777,65.278321,65.241487,75.414761,73.247211,74.033739,77.301908,82.530305
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.425996,21.538828,21.298485,22.63993,26.201027,27.733164,30.190666,31.851217,32.395672,34.755291,34.667055,35.525607,36.791325,37.772083,41.705228,48.157848,51.580402,57.805004,60.593469,61.983253,62.099697,61.423125,59.721388,59.322254,61.256043,65.36386,66.879403,68.186037,65.400811,65.476775,69.819176,84.055614,86.27793,88.749329,91.741949,94.555055,96.163266,96.970022,98.153121,98.761564,98.528337,98.161875,114.90004,112.78574,111.3631,109.77403,113.10798
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.817844,38.912382,48.167098,80.00765,76.455191,72.597495,69.35379,67.389774,61.286955,49.05762,38.853349,31.17433,24.835488,30.31823,39.927792,39.720662,34.136538,32.669055,31.937121,30.584068,38.094776,41.372055,41.016133,40.699198,42.824435,63.281633,52.512889,41.623628,40.988956,37.865195
Germany,18.811777,16.686637,15.705143,20.561889,21.810273,20.210323,18.810424,18.077472,17.935647,17.670612,16.511505,16.30565,15.851133,16.6209,16.638594,17.262295,18.055041,20.730319,20.805569,18.711402,17.660809,17.740426,17.961906,17.326166,18.523355,23.659306,25.081258,26.034977,27.368866,28.243689,30.135038,33.613711,36.438177,37.965751,38.658178,39.22932,39.087201,40.108059,40.524931,39.193367,40.736303,39.48549,41.862576,45.512365,47.874942,55.287511,58.109574,59.206529,59.808635,60.349213,59.238799,58.061561,59.823106,63.344326,64.964894,67.120191,66.396722,63.687053,65.160251,72.336274,81.008922,78.457972,79.803562,77.435095,74.520346,71.215919,68.282224,64.026225,60.809267,58.701059,68.035175,68.076818,64.997332,62.877686,63.88822
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.6443109,9.019528,9.7514621,11.558262,12.418604,12.788068,14.450301,16.149749,17.400647,18.899849,18.790195,19.164274,20.055755,16.549946,17.468913,19.148915,18.643321,18.805694,24.38922,22.713452,22.843665,27.057819,29.723325,34.064615,40.6258,47.278915,47.806817,53.152028,57.873949,60.665177,74.186225,75.736129,81.095659,101.70302,99.682052,100.38662,103.72417,102.5989,100.78523,102.84298,108.85406,110.53475,107.87131,104.25857,105.49313,109.85894,105.33419,104.63716,110.90731,128.48185,147.84617,175.07556,164.2785,180.50955,182.8236,180.00055,183.67482,182.62305,189.55279,183.69059,209.92691,197.80558,178.44083,165.15437,150.89135
Honduras,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,200.29616,122.21046,116.50922,107.97371,86.429491,65.378485,64.642801,70.841292,64.241208,68.32121,61.500512,58.69819,53.079164,57.618323,56.811273,43.59462,28.673129,17.006792,18.492319,21.625112,24.348538,26.932106,30.511801,37.119703,36.71806,37.159519,37.59014,39.952689,40.354284,41.72651,53.194282,49.215255,47.235227,42.294691,41.143172
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.457287,63.444392,73.996389,76.234441,86.956358,85.871664,83.868392,71.16823,62.195736,60.422119,60.296603,55.637609,52.20472,55.556735,58.174428,58.907097,60.578757,64.488944,65.579937,71.801081,78.188368,80.174301,80.468347,78.363984,77.220233,76.490502,75.724127,74.645886,72.001639,68.816159,64.988431,78.686584,76.214604,73.861006,72.966242,73.454354
