General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Brunei Darussalam,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.9,1.1,1.1,2.1,2.1,2.2,3.2,3,3,2.8,2.6,2.6,2.9,2.5,2.1,2.3,2.3,2.3,2.3,2.1,2,1.9,1.8
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.3,78.7,73.3,67.1,53.4,45.4,37.8,28.5,22.6,17.6,14.7,14.5,14.1,14.3,16.5,17.2,26.3,25.4,27,22.9,20.1,18.4,22.7,23.8,22.5,22.9,24.1,28.4,29.9,31.7,33.3,34.7,36
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.3,39.7,40.7,39.2,20.1,22.4,24.9,25.9,23.7,24.5,25.2,25.9,26.1,31.3,32.9,33.9,38.1,41.7,43.6,55.5,59.2,56.8,57.2,53.2,51.7,51.1,50.7,50.3,49.8
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,120,113.6,144.8,159.9,166.1,137,130.3,129.6,102.5,25.7,46.9,42.7,41.4,37.9,38,39.9,46.1,46.9,53,60.1,65.9,66.5,68.5,58.1,52,40.3,40.9,38.3,37.5,37.1,38.7
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.3,72.9,66.4,71.9,62.2,64.7,65.6,67.8,66.7,66.2,59.6,57.5,58.8,73.5,71.6,82.9,93.5,105.7,115.7,115.6,113,112.3,109.8,144.3,149.5,127.6,117.5,111.2,106,101,95.5,90.2,85.2,80.7
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.1,31.4,37.2,34.6,34.9,33.5,37.8,39.8,38.7,31.7,26.7,25.1,23,23.7,23.4,23.8,24.9,24.4,24.2,23.3,21.8,22.6,21.1,20.8,25.2,25.9,25.5,26.3,25.9,27.8,29.3,30.1,31,32.2,33.1
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.8,68.4,75.9,62.2,56.6,51.5,51.7,43.8,18.4,13.8,11.2,11.3,14,15.9,14.9,17.5,20.7,31.6,32.1,36.5,38.3,41.6,44.9,47.2,45.6,43.1,42.8,37.9,36.3,34.7,33.2,31.9,30.6
Canada,44.6,46.1,51.7,57.2,60.2,65.2,69.3,69.8,69.7,71,73.7,81.7,88.2,94.7,97.5,100.1,100.2,95.3,93.3,89,80.4,81.5,79.6,75.9,71.9,70.6,69.9,67.2,70.4,81.8,84,84.3,87.2,87.6,85.5,92,92.4,90.9,90.8,90.2,118.1,112.6,104.2,107.7,111.3,113.9,113,111.8,110.7,109.7,107.9
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.1,85.3,84.2,94.7,103.1,98.5,95.9,99.7,103,46.7,47.9,35.8,20.3,19.9,19.7,31.5,51.8,57.5,54.4,49.3,47.4,47.9,44.9,42.8,46.9,49.9,55.6,60.7,57.1,52.5,47.6,43.6,41.3,37.9
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.7,52.4,43.5,42,34.4,25.2,22,20.1,17.6,15.7,23.9,22.9,22.3,20,22.3,29.4,31.3,40.1,39.2,33.8,38.4,41.7,41.6,32.1,32.2,32.7,31.5,32.5,32.9,31.7,30.5,30
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.1,30.5,28.1,22.6,17.3,14.6,12.8,12.1,13.3,13.1,14.3,15,12.6,10.3,7,5,3.9,4.9,5.8,8.6,11.1,11.9,12.8,15,17.4,21.1,23.7,25.8,28.3,32.4,36.4,37.9,39.4,41.7,42.7,43.7,44,44.2,44.3,44.4
