General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.5,135.2,92.4,55.9,44.4,37.6,28.3,20.8,14.9,9.8,8,7.4,9.9,10.1,10.3,11.2,12.3,15.1,15.3,14.8,14.3,13.6,13.7,19.2,16.5,18.5,19.5,20.3,23.1,24.8,26.6,28.7,30.7,32.8
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,100.8,83.4,72.2,70.1,78.4,86,84,92,79.5,80.9,58.9,22.5,22.1,18.3,18.5,18.8,18.7,19.1,26.7,29.1,33.1,41.1,45.6,49.2,53.6,68.7,67.3,60.9,63.4,67.2,73.2,74.8,75.2,74.4,73,70.5
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.7,67.2,79,89.2,96.5,105.2,119.7,140.7,153.1,130.1,140.3,135.4,123.4,129.1,134.9,127.1,121.4,91.5,69.3,62.2,57.4,56.2,53.9,54.3,68,69.1,60.3,55.7,53.8,61.9,67.5,71.4,75.2,78.8,82.5
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.7,19.3,22.1,22.7,23.4,22.7,23.9,26.6,29.1,28.8,32.8,38,47.7,44.7,48.8,50.4,48,48.2,46.9,50.2,52.2,54.9,60.2,61.2,61.9,60.6,60.2,59.9,60.3,62.1,94.4,81.9,73.9,75.2,76.6,77,77.2,77.4,77.4,77.3,77.2
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.3,53.5,50.7,49.3,54.2,47.6,41.2,39.3,39.9,53.4,54.2,51.9,53.2,55.3,58.5,50.5,44.7,48.4,50.2,57.2,61.1,64,67.8,69.9,75,75.1,79.4,69,69.4,68.2,80.2,88.4,86.3,89.4,92.7,94,90.5,86.6,82.6,78.7,74.7
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.9,59.4,55.8,53.8,50.3,42.8,39.8,34.2,33.5,31.5,28.2,33.3,40.3,41.5,50.9,54.1,54.9,56.4,49,46.7,49.4,44.3,43.2,45.4,41,31.8,25.2,20.9,17.7,18.3,19.4,20.5,21.7
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.6,17.2,16.1,16.9,14.5,14.2,12.6,15.5,20.1,20,16.6,17.2,23.2,21,19.3,21.4,56.6,56.7,56.2,69.8,77.2,70.6,68.3,63.9,62.7,61.8,60.9,59.2,57.4,55.5
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.4,47.8,58.6,67.9,74.2,75.2,76.7,101.5,103,86.7,93.1,96.4,81.6,62.9,37.3,25.8,17.1,12.1,14,8.4,5.3,3,2.1,1.5,5.5,12.2,15.9,16.8,20.3,29.7,25.5,21.3,23,26.2,29.2,31.8,34.4,36.8,38.8,40.7
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.1,67.8,18.8,15,57.5,53.2,52,42.9,38,36.1,17.5,19,19.1,29.9,34.6,32.9,34.5,36.9,42.4,44.5,47.5,61.1,61.5,81.5,90.2,98.6,105,118.4,128.4,122.9,124.3,122.5,119.4,115.8,111.8
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,200.6,95.9,68.4,64.4,57.6,50.1,37,30,29.4,32.6,38.2,42,51.7,54.1,63.5,67.1,65,55.3,51.1,49.5,54.3,53.6,50.9,45.7,44.5,43.9,44.2,44.8,44.2,43.9,43.2
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,80.4,89.2,79.9,82.2,123.5,133.5,146.7,143,161.2,159.8,177.8,199.8,195.9,177,163.2,144.1,135.1,144,192.1,106.1,82.2,82.5,80.1,68.2,70.4,64.7,62.8,56.7,51.3,48.9,77.4,71,60,55.3,57.6,56.7,58.4,57.3,54,50.1,46.6
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,113.5,99.8,99.8,93.2,78.9,61.9,26.4,46.1,31.1,28.9,25.8,24.1,22.3,26.8,28.4,38.9,44.2,44.2,45.3,46.4,47.1,54,49.5,41.7,41.2,38.6,34.8,32.2,30.8,29.8
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.5,76.4,79,71.2,70.7,69.8,71.3,70.8,84.6,85.3,82.3,94.5,96.3,99.1,95.7,92.7,86.5,87.8,97.9,101.7,98.7,103.1,106.7,98.2,97.7,102.2,106.3,107.6,109.4,127.9,148.2,141.7,154.3,172.8,173.5,175.6,176.3,177,177.8,178.2,178.7
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.3,30.3,32.8,33.9,47.1,50.6,51.4,45.6,43.6,42,35,31.5,30.4,28.6,36.4,40.7,43.3,51.7,54.6,53.4,51.6,52.1,51.4,49.3,48,58.4,60.2,57.7,55.6,57.2,59.6,63.2,66.6,69.6,72.5,75.6
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.2,21.6,22.1,22.8,23.8,26.1,26.3,27.7,27,27.1,26.6,26.2,22.9,21.9,34.9,38.6,46.8,54.1,70.8,81.1,83.4,79.4,74.9,71,66,80.2,74.8,72.8,68.3,66.6,66.6,66.4,66.2,66.1,66.5,66.9
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.9,39.5,42,44.3,52.8,65.7,61.3,58.2,44.7,42.3,33,28.9,18.9,22.9,18.3,13.3,11.6,10.1,7.9,7.5,8.8,7.9,7.8,12.8,15.9,15.5,20.3,22.1,23.7,25.1,26.6,28.2,29.8,31.1
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.9,38,31.8,31.5,30.7,29.6,28,24.3,24,27,31.2,34.7,37.4,40.4,43.3,45.2,47.1,48.6,51.5,56.1,68.9,68.8,70.7,73.2,76,77.3,79.5,81.9,83.9,85.5,87.1
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,8.9,17.6,37.7,58.6,164.7,178.3,77.6,43.1,49,50.2,37.3,51.9,50.7,66,60.2,55,52.4,47.5,44.7
Spain,16.1,19.4,24.4,29.5,36,40.9,42.1,41.9,38.5,39.9,41.3,41.9,44.1,54.6,57,61.6,65.4,64.3,62.4,60.9,57.8,54.1,51.2,47.7,45.3,42.4,39,35.7,39.6,53.1,60.3,69.5,89.6,100,104.4,102.4,102,101.1,99.7,97.6,119.2,115.6,109.2,105.1,101.6,100.4,98.7,96.9,95.5,94.1,92.6
Sri Lanka,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.9,80.5,77.9,79.2,77.9,77.8,76.2,70.1,74.2,77.7,79.2,84.4,96.3,86.5,86.5,76.6,74.3,71.8,68.8,72.8,68.7,69.4,67.5,69.5,69.6,76.3,75,72.3,83.6,82.6,96.9,102.7,115.9,110.4,100.8,no data,no data,no data,no data,no data,no data
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.2,285.9,386.5,239,220.9,167.7,179.7,160.5,143.2,125.6,121.7,117.4,97.8,75.5,63.7,53.7,55.8,71,74.6,78.1,117.7,105.8,84.4,93.2,109.9,149.5,209.8,216.5,278.3,189.6,186.9,259.9,261.4,221.5,172.4,143.3,141.9,134.2,140.3
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.9,75.7,64.4,51.1,30.5,16.3,11.8,16.8,21.6,32.3,48.4,37.2,37.4,31.5,29.4,27.1,22.5,16.4,14.8,14.6,17.3,18.7,20.1,27.9,25.2,41.2,75.4,73,68.6,84,146.4,115.8,116.9,98.2,87.3,89.1,82.7,76.9,56.3,35.9,34.3
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.1,68.6,68.7,68.9,67.7,65.4,60.3,50.4,52,49.8,49.4,48.7,48.9,43.8,39.2,38,41.2,38.6,37.7,38,40.8,45.7,44.5,42.9,41.6,39.9,35.8,40.2,37,33.9,31.8,33,34.2,35.6,35.8,35.3,34.5,33.5
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.3,35.1,39.5,44.4,47.1,50,51.3,53.7,55.9,52.7,52.2,51.1,57.7,56.9,57.8,54.9,48.5,44.8,44.8,43.1,41.5,41.9,42.6,41.9,42.1,42.2,40.9,41.8,39.8,39.6,43.2,41,37.2,38.7,37.5,36.9,36.1,35.3,34.3,33.6,32.7
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,189.8,182.4,173.6,171.9,163,152.6,141.5,147.6,151.2,147.7,152.1,144.5,132.4,133.4,113,50.7,45,42.7,37.3,31.2,30,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,418.4,366.5,329.4,354.5,334.2,283.2,110.1,60.7,70.3,83,86,59.6,76.8,92.5,101.1,104.6,92.3,95.9,98.6,91,85.1,86.8,73.2,64.8,51.4,45.4,41.2,37.5,34.3,30.5
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,23.7,23.7,26.2,30.1,29.8,32.1,33.4,34.1,33.3,32.2,33.4,36.7,36.9,38.3,39.2,38.9,37.5,35.9,35.4,34.5,33.8,32.6,32,30.1,29.5,29,26.3,23.4,20.9,18.2,15.4,12.7,9.8
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.6,107.8,111.4,99.4,98.3,69.8,49.4,45.8,36.8,34.3,30.2,36.9,36.8,35.5,32.5,29.3,27.9,35,42.2,46.3,46.3,43.2,50.9,42,31.8,29.9,24.9,22,22.9,23.3,24.4,25.4,26.1
Tanzania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.8,47.4,44.4,44.5,25.4,17.4,23.8,21.6,23.9,27.6,28.4,30,32.7,36.4,39.5,39.8,40.1,42,40.4,41.3,43.4,44.9,47.8,49.9,49.6,48.3,46.7,45.2,44,42.9
Thailand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.2,40.5,49.9,56.6,57.8,57.5,54.9,47.5,46.3,45.5,39.2,36,34.9,42.4,39.8,39.1,41.9,42.2,43.3,42.6,41.7,41.8,41.9,41.1,49.4,58.3,60.5,62.3,63.2,64.9,66.7,67.7,68.3,68.7,68.9
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2.9,4.7,6.7,9.3,9.5,10.1,6.5,7.9,12.4,13.3,13.9,14.7,14.7,14.6,14.6,14.7
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.1,67.7,70.5,67.3,57.6,33.5,37,34.3,41.1,44.9,52.4,59.9,57.1,58,54.9,62.2,64.9,67,68.6,72.1,71.9,70.6,68.5,66.2,64.9,63.3
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.4,43.6,53.4,60.7,56.2,52.2,43.3,39.6,37.8,34,39.7,44.7,51.9,60,48.9,47.4,51.1,49.4,44.7,45.8,42.8,42.6,43,43.2,43.3,37,31.6,37.8,44.6,52.8,62.1,72.9
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,65.3,51.9,49.5,50,49.5,59.6,54.8,51.1,48,46.5,43.4,43.4,40.6,37.2,37.2,31.8,25.1,20.7,17.5,16.9,14.2,18.7,17.4,27.3,22.1,21.9,23.6,26.4,34.7,40.1,41.5,46,60.6,60.5,53.2,60.2,64.6,65.3,68.5,70,69.9,68.9,67.9
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.3,62.1,63.8,63.9,65.6,66.8,66.6,58.2,61.9,62.9,52.2,51.6,52.6,51.6,50,45.7,42.7,41.4,40.3,38.8,43.3,49,45.6,50.7,52.4,58.9,67.1,72.9,67.3,77.7,79.7,83,84,83.4,80.6,82.6,84.7,87,89.6,91.6
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,64.2,81.6,66.7,55.1,34.1,24.2,16.9,11.4,6.8,4.2,3.1,3.6,3.1,7,14.8,17.9,20.4,16,19,21.1,24.7,22.5,17.7,15.4,12.3,7.1,5.5,4.1,3.9,3.6,3.4,3.5,3.6,3.8
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.4,37.5,32.4,19.8,20.6,21.1,19.1,19.3,17.8,16.4,14.4,11.5,12,11.8,11.6,12.1,11.3,6.3,6.7,7,3.6,3.6,3.7,5,7.7,10.9
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.2,75.3,71.3,65,57,50,44,37.5,37.5,42.9,39.2,35.7,32.1,30.8,28.2,27.1,27.7,27.6,29.5,31.8,38.7,39.4,30.2,28.7,24,24.3,25.1,26,26.1,26.3,25.9
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.2,45.1,47.7,48.5,51.4,54.7,55.1,49,42.6,27.8,17,15.7,14.8,18.4,18,19.5,22.1,24.8,28,31.3,33.6,34.9,37.5,46.3,50.3,50.2,50.5,51.5,52.4,53,52.4,52.8,53.6,54.3
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.9,46.5,59,43.8,36.7,33.6,29.4,24.8,17.7,14.8,12.3,20.4,35.4,40.6,36.9,37.5,40.5,70.3,79.3,79.5,71.6,60.4,50.5,60.5,48.9,77.7,81.2,89.7,108.6,110.4,106.4,102.9,98.3,94.1
United Arab Emirates,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7,3.1,2.7,3.4,3.3,4.1,4.5,5.1,8.9,8.9,21.1,18.3,20.4,20.2,15.3,13.5,15.6,18.6,21.2,20.7,25.8,30.1,35.7,31.5,31.9,34.9,34,31.9,30.1,28.7,27.2,26.6
United Kingdom,42.5,44.7,43,41.8,42.2,41.3,41.3,39.3,37.1,32.5,28.5,28.5,33.2,38,40.7,43.7,43.7,44.1,42,40.4,37.7,35,35.4,36.8,39.8,41,42.1,43.2,50.8,64.9,75.9,81.4,84.5,85.3,87.1,87.9,87.8,86.7,86.3,85.7,105.8,105.1,99.6,100.4,101.2,103.4,104.8,105.4,105.8,105.9,105.4
United States,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.5,55.9,59,66.4,65.8,64.5,64.9,73.8,87.1,95.6,100,103.7,105,104.9,105.4,107.4,106.4,107.6,108.8,132.5,125,119.1,119.8,122.3,125,128.7,132.7,136.6,140.1,143.4
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.1,30.5,39.4,90.1,91.9,73.7,66.2,61.1,52.8,46.2,46.2,40.9,41.3,49.8,50,51.1,57.8,56.4,55.8,57.9,59.6,68.2,64.1,59.9,64,68.7,66.6,68.3,68.9,69.2,68.9,68.6
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.3,18,18.4,29.5,44.8,41.6,31.4,26.9,21,13.5,9.6,8.3,7.3,6.6,6.3,6.8,6.2,6.1,6.7,8.2,17.3,17.5,25.4,33.7,31.7,30.5,32.2,32.7,31.1,31,30.6,30.6,30.1,29.9
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.9,21,20.3,21.6,24.1,23.1,22.9,28,30.6,36.1,37,38.8,38.3,30.4,26.3,22.2,19.5,21.2,21.1,20.2,21.3,19.3,18.6,20.2,36.3,42.5,52.6,45.3,45.1,48,48.5,42.8,41.8,45.3,48.6,51.5,53.9,55.9,57.7,59.4
Venezuela,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.7,29.6,27.7,30.7,48.2,56,41.8,34.9,25.7,26.4,20.3,27.6,37.7,52.5,58.4,85.4,84.9,129.8,138.4,133.6,175.3,206,336.5,254.2,164.4,138.5,164.3,no data,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.8,25.4,27.7,29.8,29.4,28.7,30.2,32.2,31,36.2,37.3,36.2,38.3,41.4,43.6,46.1,47.9,46.6,43.8,41,41.3,39.2,34.9,34.3,31.3,32,31.8,31.5,31.1,30.8,30.6
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20,22.2,20.9,20.7,21.1,24,19.3,23.7,23,24,22.7,26.3,29.8,30.2,34,37.1,31,31.8,33.1,34.5,47.1,50.2,47.1,48.5,65.6,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.1,60.8,60.6,57.8,56.8,52.1,43.8,40.8,40.4,36.4,49.8,42.4,45.7,47.6,48.4,48.9,57.7,76.5,83.8,86.9,91.5,87,75.9,65.3,77.9,70.9,71.4,68.5,64,53.8,51.4,51.9
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,261,210.2,180.2,159.5,129.9,75.7,25,21.9,19.2,20.5,18.9,20.8,24.9,25.9,33.9,61.9,61.2,66.6,81.2,103.3,140,111,99.5,129.1,114.9,no data,no data,no data,no data,no data,no data
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.4,26.7,30.2,41.3,39.7,33.2,30,27.2,26.4,29.2,34.1,35.1,49,33,53.9,56.8,39.9,66.8,76.1,73,45,41.6,38.9,38.2,36.8,35.1
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.1,60.2,55.7,51.8,46.8,40,32.4,28.5,26.6,30.3,29.6,31.1,31.7,33.8,35.1,41.1,47.6,48.4,50,51.7,60.9,60.5,60.3,65.1,65.3,64.2,63.5,63,62.2,61.2,60.2
Asia and Pacific,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.9,93.9,94.2,94.5,94.4,90.6,83.2,76.7,77.4,86.5,84.7,85.3,84.9,78,76.4,73.9,81.4,80.5,80.3,83.7,94.4,90.5,88.2,89.7,90.6,94.1,96.6,98,99.1,100,100.9
Australia and New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.8,21.2,25.9,31.2,33.7,34,32.9,30.5,27.1,25.1,23.7,20.7,18.5,16.5,14.7,13.3,12.2,11,10.5,12.6,17.5,21.3,25.1,28.3,30.9,34.1,37.3,39.7,39.9,40,44.8,55.2,54.5,49.8,49.2,50.7,51.3,51.4,51.4,51,50.4,49.8
Caribbean,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.6,51.3,54.5,59,58.7,55.1,53.6,50.5,46.6,47.3,51.6,54.2,56.5,55.8,55.4,54.9,56.1,60.4,60.7,59,61.6,74.6,69.2,60.5,59.7,53.1,51.4,50.7,49.5,47.9,46.1,45.3
Central America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.1,37.2,38.7,46.1,42.1,40.5,37.5,32.5,30.7,33.9,34.8,35,36.8,38.7,38.9,39.2,40.3,41.9,44,46.5,59.4,55.4,52.8,51.9,51.9,52.5,52.3,51.7,51.2,50.5,49.3
Central Asia and the Caucasus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.1,60,51.9,44.7,36.2,30.2,30,34.1,31.2,27.8,25.6,24.8,23.4,24.7,25.4,26.2,27.2,28.7,35.3,35.3,27.9,27.3,24.3,24.7,25.5,26.3,26.5,26.8,26.6
East Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.7,78.8,79.4,87.6,97.5,101.1,104.1,106,109.3,110.9,108.3,100.7,93.8,94.9,105.3,104.6,105.6,104.1,94.3,91.3,85.7,95.9,94.6,93.1,96.6,106.9,101.5,100.1,103.1,105.3,110.7,114.5,116.8,118.9,120.9,123
Eastern Europe ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.5,45.7,40.3,38.3,35.2,30.4,26.4,22.5,20.3,20.9,26.6,27.5,27.5,27.4,29.1,32.4,35.1,35.6,32.8,31.4,30.1,39.3,36.5,35.3,37.7,40.1,42.9,46,47.9,49.8,51.5,53.2
Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.4,66.5,64,60.3,58.6,58.7,60,59.8,59.2,56.8,54.4,57.5,67.9,71.7,72.6,75,76.8,78.8,79.1,78.7,75.8,74.2,72.3,85,81.9,76.6,76.7,77.3,78.1,79.7,80.6,81.3,82,82.8
Middle East (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.8,48.2,58.4,52.9,56.3,41.5,32.2,27.9,23.5,29.3,24.9,22,21.9,21.1,20.2,29.4,37,38.6,36.7,39.6,49.1,44.6,36.2,36.5,39.9,42.5,44,43.9,44.8,45.7,46.5
North Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,68.7,64.8,65.3,65.9,64.8,59.6,57.4,51.6,44.5,38,42.9,43.4,43.8,45,49.5,50.9,57.1,65.1,64.7,64.8,64.4,74,77.6,75.3,76.2,72.8,71.7,74.1,74.9,75.3,74.9,73.9
North America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.1,56.3,59.1,65.2,64.4,63,63.1,71.2,83.9,90.9,94.4,97.8,99.1,99.2,101.1,103.3,102.1,103.2,104.2,127.8,120.5,114.4,114.8,117.6,120.4,123.5,126.8,130.2,133.1,135.8
Pacific Islands ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.1,38.8,40,44.5,43.3,39.9,41,46.3,47.9,42.9,40.3,35.6,32.9,28.8,27.8,27.6,24.7,23.2,24.6,28.6,29.8,32.3,35.1,34.2,37.3,38.8,49,54.5,51.2,54.9,53.1,51.5,51.9,50.2,48.9,47.6,46.1
South America,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.3,52.6,72.2,69.2,63.4,56.7,52.6,50.5,48,51.3,50.1,49.8,50,50.8,52.6,60.1,63.8,67.5,73.3,75.2,85,77.5,75.2,85.3,77.5,81.5,82.5,82.2,81.9,81.2,80.4
South Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.6,67.2,64.5,65.9,66.5,69.7,72.5,77.5,80.6,77.2,75.9,73.8,70.3,68.8,67.8,67.6,63.9,64.5,63.9,63.5,63,64.3,64.4,65.1,66.2,71,81.8,78,77.3,76.8,77.2,77.1,76.5,75.9,75.1,74.1,73
Southeast Asia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,64.5,64,60.7,58,55.7,51.3,45.8,45.4,42.7,45.3,44,42.6,44,44.3,44.3,45.8,46,46.6,47.3,48.5,58.4,62.2,63,65.5,66.2,67.3,67.7,67.5,67.2,66.7,66.2
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.8,57.6,51,46.6,42.2,34.2,26.2,23.4,22.7,25.7,25,26.8,27,28.4,29.7,35.4,40.9,43.2,45.4,47.5,56.1,54.1,54.6,60.8,61.9,61.1,59.2,58.2,56.9,55.7,54.7
Western Europe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.8,57,62.3,64.7,66.4,68.1,67.2,65.9,64.5,61.6,60.4,60.8,62.4,63,63.4,61.9,60.1,64.6,74.8,80.2,82,85.7,87.6,88.3,86.9,86.1,84.1,82.6,81,94.1,91.3,86.3,85.5,85.9,86.7,87.7,88.3,88.9,89.4,89.9
Western Hemisphere (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.9,57.3,59.8,64.9,63.4,61.6,61.2,67.3,78.5,83.2,85.3,88.2,89.7,90.5,94.4,97.1,96.2,98.4,99.8,122.3,114.9,109,110.4,112.1,114.9,117.8,120.6,123.3,125.7,127.8
ASEAN-5,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.8,65.2,62.3,59.6,57.6,53,47,46.6,43.9,46.4,44.8,43.5,45,45.1,45.1,46.5,46.6,47.1,48.4,50.1,61.6,65.7,67.4,70.4,71.8,72.9,73.5,73.3,73,72.5,71.9
Advanced economies,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.3,71.3,73.4,76.8,76.3,73.5,71.2,77.9,91.2,97.5,101.5,105.7,104.2,103.7,103.3,105.6,103.2,102.7,103.8,122.2,115.6,109.3,108.5,109.1,110.2,111.8,113.6,115.5,117,118.5
