"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3044.127,3831.773,4414.827,4944.014,5269.315,5788.012,6166.902,6530.103,7124.159,7627.826,8284.367,9021.72,9716.585,9528.469,9811.805,10231.879,10494.438,11152.789,11494.243,12125.425,12662.713,13334.22,14395.325,15744.164,15488.97,17287.092,19343.6,20512.37,21702.467,22829.684,23929.919,25134.16,26385.382,27741.877,29204.144
Botswana,2009.159,2335.426,2771.033,3076.675,3274.48,3508.519,3749.49,4258.285,5249.109,5509.165,5993.808,6392.524,6340.399,6567.7,6481.477,6999.182,7131.906,7598.03,7402.577,7957.573,8341.78,8556.748,9163.06,9676.335,9900.725,10527.952,11293.327,12032.419,12408.553,10501.132,11465.868,12254.461,12224.218,13551.884,14295.545,13461.529,14275.551,14817.571,14805.292,14863.165,14179.519,16663.189,18527.783,19495.739,19066.351,19053.102,19535.741,20467.019,21523.795,22649.744,23875.412
Brazil,4427.939,4532.319,4736.64,4653.791,4971.614,5420.615,5828.799,6070.43,6186.153,6518.464,6291.047,6460.698,6470.632,6823.181,7225.904,7584.731,7669.11,7941.583,7934.334,7963.272,8333.612,8527.042,8813.197,8982.016,9643.571,10151.103,10761.746,11605.183,12309.433,12252.012,13226.64,13935.215,14356.717,14922.341,15138.365,14621.149,14173.734,14523,15432.162,16035.469,16062.817,18028.1,19821.227,21137.486,22304.24,23309.631,24108.131,24982.414,25898.031,26919.742,28037.475
Brunei Darussalam,no data,no data,no data,no data,no data,43358.935,42194.139,42693.542,43277.396,43606.237,44449.649,46110.102,48162.971,48315.453,49523.229,51685.945,52823.383,51680.249,50659.524,51708.139,57249.714,57961.499,59888.464,62108.721,62776.198,63622.536,67148.68,65385.612,63191.63,61536.259,62883.862,65472.105,66400.771,65342.145,64129.222,63720.025,62001.508,62579.075,65329.381,68074.251,70673.187,80202.909,83619.503,86698.541,91436.731,94472.473,97445.32,100612.672,104073.206,108070.243,112087.17
Bulgaria,5075.912,5833.356,6435.457,6870.849,7433.199,7800.683,8382.133,9005.613,9572.508,9941.654,9434.622,8778.657,8308.065,7604.192,7571.294,7692.925,8328.332,7332.349,7749.849,7233.81,7658.695,8396.821,9080.155,9799.964,10774.201,11961.357,13236.675,14574.087,15835.204,15486.795,16043.632,17122.202,17674.539,17973.718,18571.836,19512.2,20442.16,21536.798,23059.879,25523.648,25928.605,29705.722,35112.219,37111.227,39150.887,42477.288,44949.702,47382.265,49887.531,52536.74,55397.028
Burkina Faso,384.644,422.194,443.567,444.074,455.649,509.86,545.883,543.026,578.989,598.527,601.134,660.858,660.983,682.877,689.036,724.869,798.742,841.855,888.625,939.352,949.995,1004.508,1032.128,1099.793,1143.41,1241.717,1318.268,1367.541,1432.031,1440.86,1535.947,1622.761,1707.339,1782.674,1836.766,1870.279,1942.87,2041.275,2075.787,2240.303,2392.367,2486.431,2644.819,2761.569,2899.351,3019.005,3147.356,3275.391,3406.554,3548.263,3701.292
Burundi,382.664,456.443,465.887,487.823,491.803,550.996,563.834,592.245,625.646,640.193,667.557,709.25,712.439,685.026,661.401,610.353,561.469,564.247,586.394,587.369,598.804,607.077,613.47,621.096,637.601,661.307,693.186,709.802,727.987,722.841,733.943,751.906,771.92,794.654,814.653,772.424,761.853,761.269,753.456,778.355,787.295,837.878,889.47,921.429,952.871,989.295,1017.352,1046.244,1075.997,1110.098,1147.519
Cabo Verde,860.512,1005.98,1078.446,1202.713,1266.237,1389.52,1428.165,1495.319,1606.901,1727.352,1764.249,1806.75,1859.121,1993.927,2184.835,2336.307,2476.932,2649.659,2841.185,3155.365,3391.371,3608.925,3787.636,4079.62,4325.057,4651.203,5164.057,6039.286,6518.106,6391.585,6516.98,6873.397,7037.589,7162.436,7297.068,7392.626,7750.338,8213.958,8168.715,8890.249,7047.73,7876.348,9725.555,10517.425,11503.81,12335.268,13089.289,13875.857,14682.423,15556.18,16462.456
Cambodia,no data,no data,no data,no data,no data,no data,no data,632.667,697.709,727.169,738.657,793.881,839.166,862.709,914.547,958.4,1003.552,1033.31,1066.756,1191.255,1319.783,1426.036,1514.304,1675.753,1853.424,2131.189,2398.332,2675.944,2884.508,2972.231,3110.51,3351.519,3616.295,3903.362,4220.442,4493.536,4816.529,5213.911,5777.847,6308.101,6083.353,6368.944,7064.909,7617.048,8194.17,8707.071,9126.472,9604.457,10148.279,10762.652,11453.72
Cameroon,1362.679,1696.6,1884.648,2036.736,2208.523,2399.094,2543.452,2479.702,2297.872,2276.667,2149.422,2074.575,1996.299,1921.16,1857.834,1906.089,1980.863,2064.302,2130.054,2186.72,2248.494,2314.674,2399.387,2499.829,2661.339,2702.704,2806.046,2917.21,2972.067,2982.035,3019.336,3100.062,3208.607,3331.065,3478.093,3592.376,3677.355,3767.431,4010.764,4241.112,4368.788,4793.555,5188.156,5410.008,5588.158,5791.088,5959.952,6142.97,6341.341,6557.531,6795.657
