"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Lebanon,7493.863,8074.895,5343.895,6733.428,9899.3,12445.328,11545.22,13473.106,9821.629,5785.598,5097.939,7138.58,7469.188,8024.194,8695.723,9283.741,9653.595,10627.597,10975.843,10857.024,11041.614,11547.32,11968.778,12252.349,13318.509,13897.951,14311.461,15768.417,17249.584,18886.818,20456.232,20853.772,21221.166,20430.073,19277.085,19163.547,20088.481,21139.403,22107.63,21779.086,13566.375,10711.023,11804.743,12464.182,11815.59,no data,no data,no data,no data,no data,no data
Lesotho,422.292,464.208,507.218,528.266,557.785,576.515,594.443,611.126,668.677,722.63,783.72,856.867,914.984,960.039,1017.966,1068.464,1127.64,1174.09,1195.197,1224.237,1298.602,1371.031,1427.402,1520.796,1600.137,1712.067,1839.601,1962.178,2063.161,2068.716,2185.873,2326.699,2471.305,2534.191,2604.904,2684.646,2728.374,2668.033,2628.799,2535.774,2571.075,2569.142,2776.641,2908.517,3009.451,3089.293,3142.353,3183.139,3241.762,3308.969,3381.947
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1282.302,1298.995,1345.299,957.903,1003.48,1067.64,1154.084,1289.163,1337.801,1360.868,1413.313,1504.82,1614.084,1739.494,1736.307,1708.652,1654.232,1683.226,1763.071,1800.756,1586.272,1537.082,1689.006,1791.908,1869.341,1960.929,2060.662,2163.836,2277.743,2395.538,2526.71
Libya,23950.738,20039.931,20628.196,19602.339,17851.237,18630.485,16217.298,13594.243,13419.811,14300.087,16331.916,19519.343,18629.48,17632.776,18229.304,15408.15,15669.402,15267.286,15058.984,15003.633,15686.317,16210.405,15611.369,18216.86,19476.626,21902.509,22242.914,23890.938,23898.212,22679.013,23785.029,12295.466,22057.874,18446.909,14459.642,14327.725,14107.291,18837.552,19853.87,17112.593,11617.318,13442.505,13079.765,14793.45,15299.023,17930.647,18836.976,19397.029,19858.548,20392.893,21024.133
Liechtenstein,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,93754.528,93260.426,93216.027,91370.523,96496.629,103843.645,114652.074,126329.538,125255.432,110251.405,116390.41,112936.558,113788.736,121154.883,126872.854,127438.527,131095.421,140829.298,144655.999,145598.718,139389.353,175785.39,176343.646,189938.03,195976.742,201112.272,206119.8,212041.432,218018.783,224444.897,231343.462
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7024.256,7585.069,8422.037,9236.828,9331.664,9933.439,10920.609,11909.866,13533.561,14942.327,16945.931,19045.491,21992.566,23141.798,20129.903,20863.391,23161.836,24946.602,26654.662,28370.832,29713.193,31140.878,33594.855,36497.346,40566.564,41252.754,46441.125,50576.968,51940.12,54368.594,57201.425,59931.594,62736.376,65848.339,69248.923,72865.845
Luxembourg,17414.59,19156.478,20534.788,21741.47,23572.219,25629.396,28622.807,30293.619,33725.146,38104.527,41164.77,45614.953,46861.757,49284.311,51509.542,53092.806,54097.385,57556.354,61218.461,66477.861,72668.493,75646.847,78406.793,81262.225,85696.604,89360.762,96014.048,105012.573,105035.699,100250.319,103481.032,104696.244,105699.686,108409.138,110575.406,111437.115,115390.419,116089.425,117790.357,122579.114,122907.129,140411.161,146289.337,148311.277,149986.859,152394.648,155274.961,158306.428,161162.933,164176.845,167444.442
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38276.126,41929.62,47075.333,59104.294,62935.695,69387.907,77843.738,80376.087,82975.106,103141.889,126876.701,135192.016,145885.571,138827.81,108168.476,108774.734,120112.544,128074.555,124749.596,57413.763,74101.781,64794.164,115751.526,128211.181,132648.291,136808.605,142041.139,147413.806,153643.453,160219.802
Madagascar,947.748,911.326,924.479,944.026,969.337,985.15,997.94,1007.679,1050.601,1106.631,1153.065,1087.739,1096.285,1116.012,1106.071,1114.663,1125.642,1152.65,1175.87,1212.064,1256.93,1322.29,1141.85,1240.974,1302.14,1365.734,1440.496,1518.31,1603.186,1503.634,1486.587,1496.173,1524.048,1539.309,1571.125,1587.588,1617.97,1661.708,1656.275,1715.3,1578.279,1662.136,1804.191,1896.851,1970.799,2039.724,2107.569,2187.416,2269.044,2358.645,2455.095
Malawi,412.006,415.625,440.992,462.281,487.503,503.169,484.939,475.015,477.682,477.998,504.719,554.277,519.048,579.422,527.178,605.018,664.438,702.894,698.87,714.172,717.935,688.605,685.525,722.856,765.791,799.511,839.058,918.554,980.17,1038.441,1091.867,1135.778,1145.745,1191.523,1245.505,1257.919,1262.343,1298.938,1281.5,1356.486,1415.382,1575.454,1655.376,1700.147,1724.063,1757.703,1786.81,1820.952,1857.678,1899.531,1944.706
Malaysia,3046.042,3479.714,3816.79,4111.783,4479.036,4437.077,4456.368,4690.602,5209.387,5764.603,6248.062,6969.363,7549.815,8262.177,8968.744,9794.221,10691.533,11379.672,10391.437,10903.39,11815.27,11827.447,12349.735,13010.584,13944.394,14771.244,15864.622,17149.223,17992.269,17523.167,18733.363,19804.053,20953.965,21791.221,23123.793,24131.68,25085.134,26690.326,28247.32,29750.263,28696.233,31385.032,36568.175,38778.951,41269.791,43664.705,45712.36,47818.153,50015.069,52400.4,54990.237
Maldives,2105.475,2392.6,2646.873,2770.58,3254.58,3674.709,3920.939,4263.512,4677.237,5177.7,4960.454,5234.957,5544.23,5823.46,6228.008,6700.492,7284.384,8010.793,8712.523,9285.517,9798.111,9947.67,10543.542,12078.906,12951.261,11686.052,14630.012,15785.205,17267.538,15693.318,16689.693,18189.049,18652.615,19956.089,21526.295,22216.111,23506.663,25192.811,28335.785,30275.11,17833.05,25585.822,30679.808,32819.115,34165.248,36065.761,37733.117,39274.838,40828.121,42494.696,44300.355
Mali,554.972,567.654,521.717,547.516,568.67,593.665,630.787,651.005,662.66,748.221,831.954,907.944,895.886,930.185,965.168,993.182,1061.866,1106.553,1122.925,1176.763,1168.157,1337.299,1357.433,1463.199,1477.363,1570.956,1640.204,1687.103,1743.442,1777.416,1835.792,1872.851,1837.33,1856.464,1959.685,2035.254,2107.037,2187.689,2249.856,2379.596,2298.247,2347.628,2524.843,2659.897,2769.258,2889.967,3008.693,3122.936,3236.759,3358.716,3489.567
Malta,6089.335,6785.89,7169.406,7369.227,7758.706,8126.826,8380.57,9013.607,9899.644,10912.259,11732.766,12509.776,13682.134,14413.393,15246.001,16490.063,17372.485,18382.651,19082.859,19968.186,20095.269,20253.594,20959.431,22014.969,22552.559,23763.923,24924.842,26848.148,28416.811,27980.874,29851.052,30698.127,32352.955,34648.85,37349.464,40319.887,41342.616,46533.967,49098.302,52533.76,50034.043,58537.151,63757.442,70187.344,75338.986,78710.887,81745.709,84902.08,88159.369,91730.211,95635.908
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2107.205,2085.832,2054.257,2140.055,2376.65,2540.403,2534.466,2560.984,2650.434,2721.629,2880.468,2678.326,2803.869,2959.348,2991.826,3042.265,3257.077,3328.4,3494.184,3704.853,4048.219,4525.061,5220.392,5168.281,5665.228,6147.132,6272.263,6969.278,7704.429,8414.596,8982.606,9493.24,9982.147,10436.995
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2886.146,2903.868,2940.724,3099.936,2984.517,3253.449,3408.213,3233.899,3266.885,3337.927,3186.713,3140.179,3140.712,3327.563,3479.136,3789.861,4770.379,4671.577,4619.363,4531.977,4588.906,4756.492,4938.38,5106.932,5292.297,5500.154,5492.643,5806.925,5932.326,6175.817,6367.42,6517.749,7293.899,7903.79,8423.713,8774.944,9112.047,9461.558,9937.496,10351.472,10624.847
Mauritius,2012.496,2298.173,2543.047,2628.487,2823.708,3087.967,3430.697,3844.154,4220.842,4547.253,5020.568,5362.403,5765.447,6128.945,6428.111,6785.666,7221.778,7667.521,8138.483,8362.159,9161.662,9592.968,9832.047,10549.502,11228.299,11679.253,12524.3,13538.506,14490.181,15022.927,15833.378,16792.08,17653.713,18516.658,19520.509,20402.015,21380.588,22600.857,23067.147,24036.802,21325.955,22781.577,26579.783,28962.351,31193.107,33023.741,34829.752,36695.099,38640.072,40775.781,43104.293
Mexico,6486.052,7596.879,7875.467,7627.479,7997.262,8224.861,7889.91,8082.756,8301.21,8766.114,9388.919,9902.055,10294.824,10645.48,11152.282,10533.25,11211.424,12042.276,12748.997,13111.388,13900.842,13957.268,13942.988,14189.513,14891.8,15476.879,16486.01,17023.663,17241.842,16003.763,16747.819,17425.431,18129.239,18355.915,18913.756,19393.676,19728.461,20262.587,20685.338,20724.883,19141.257,20814.061,22947.575,24374.35,25117.837,25770.389,26432.534,27225.853,28067.169,28966.842,29945.339
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2065.313,2027.908,1929.414,2003.392,2049.514,2181.013,2283.023,2330.864,2420.361,2411.933,2553.719,2638.912,2677.412,2671.893,2731.355,2835.94,2980.627,2978.54,2919.705,2903.108,3080.737,3168.709,3322.945,3470.984,3692.525,3713.477,4053.29,4268.734,4453.366,4602.263,4760.79,4913.248,5033.661,5150.84,5275.703,5410.221
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5119.658,5191.56,3659.837,3687.28,3544.525,3675.519,3480.649,3415.368,3574.869,3886.142,4265.534,4650.809,5139.248,5714.602,6188.809,6562.581,7221.238,6837.143,7418.374,8013.953,8115.126,9004.372,9625.959,9730.554,10348.673,11151.883,11767.521,13310.565,13483.717,15498.304,16217.05,17515.689,18480.037,19590.727,20730.897,22201.042,23808.893,25565.112,27431.493
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3140.261,2877.39,2621.732,2574.87,2660.854,2847.054,2920.982,3045.036,3137.71,3233.715,3303.648,3492.161,3682.859,3984.315,4429.767,4809.995,5296.279,5832.149,6299.888,6092.565,6510.457,7653.188,8584.877,9540.031,10242.007,10372.158,10414.996,10994.843,12202.275,13484.51,13569.451,14678.605,16286.492,17898.326,19064.087,20378.301,21649.036,22965.299,24304.524,25687.692,27184.483
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9035.066,9302.619,9588.18,9981.985,10682.458,11463.203,12817.011,14081.177,15313.686,14452.606,15010.32,15817.485,15684.11,16460.212,17112.056,17680.907,18442.075,19356.73,21083.626,23705.446,20624.824,24125.821,27907.057,30817.503,32565.586,34407.847,36129.217,37818.375,39565.744,41445.603,43467.96
Morocco,1475.866,1530.926,1736.534,1752.884,1851.033,1983.193,2140.467,2088.194,2333.648,2426.151,2608.479,2845.238,2773.562,2760.872,3089.888,2911.572,3303.834,3242.735,3488.791,3506.861,3594.521,3902.709,4045.4,4336.079,4608.415,4842.165,5310.116,5530.714,5896.409,6107.69,6338.834,6726.033,6972.098,7323.531,7543.763,7880.072,7912.473,8372.935,8054.832,8309.034,7958.078,8908.245,9620.222,10242.547,10793.549,11437.148,12024.203,12605.78,13211.078,13853.478,14534.993
Mozambique,197.203,221.271,213.768,183.5,175.003,180.51,179.288,211.106,236.997,261.317,269.985,289.8,264.464,288.544,301.574,303.563,331.954,367.519,400.02,442.301,443.749,497.724,538.309,571.296,616.316,656.528,723.164,777.687,824.246,854.782,897.983,955.268,1022.309,1077.771,1148.411,1209.969,1242.633,1261.14,1307.33,1370.398,1393.756,1440.46,1566.663,1666.778,1696.751,1732.595,1776.195,1833.176,1886.28,2041.698,2256.825
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,720.281,780.863,885.83,1006.742,1112.702,1273.824,1498.018,1743.772,2024.453,2324.705,2532.286,2642.068,2794.987,2986.714,3214.47,3498.348,3818.154,4045.964,4326.407,4639.378,5503.078,6013.139,5509.907,4287.946,4750.164,4948.474,4989.41,4950.861,5167.848,5389.956,5594.959,5797.102,5995.124
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3995.348,4173.134,4495.543,4381.746,4474.209,4663.9,4765.809,4922.032,5011.07,5122.305,5290.164,5415.303,5754.757,5976.72,6459.842,6886.933,7287.378,7657.531,7903.323,7861.957,8311.909,8774.725,9219.314,9648.049,10146.954,10401.038,10225.78,10026.028,9993.113,9746.354,9496.984,9851.91,10804.483,11395.305,11861.25,12341.506,12804.86,13154.453,13531.485,13941.791,14378.859
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4335.647,4460.579,4988.553,3992.567,4904.261,4652.359,4688.73,5444.504,6833.473,7032.059,8155.082,8289.239,8579.607,8082.157,8057.646,8801.411,9052.779,10090.84,11040.808,11451.523,11851.116,12267.627,12596.006,12906.814,13207.498,13532.774,13884.583
Nepal,493.12,571.498,615.297,606.09,673.052,720.401,751.668,766.975,837.327,887.854,940.733,1008.039,1043.514,1079.46,1163.61,1200.036,1259.136,1320.5,1347.881,1401.898,1495.228,1589.04,1591.292,1663.102,1765.259,1862.989,1965.929,2070.692,2222.701,2322.045,2448.246,2572.732,2736.008,2874.914,3091.591,3226.71,3256.051,3604.708,3956.125,4260.674,4235.575,4546.23,5102.179,5399.641,5744.948,6139.804,6577.771,7029.317,7504.651,8022.341,8587.252
Netherlands,12159.352,13131.822,13689.968,14421.976,15349.494,16188.863,16942.432,17579.808,18905.124,20401.554,21920.076,23034.699,23746.161,24438.533,25539.795,26747.917,28041.152,29595.886,31147.056,32956.106,34897.816,36233.07,36616.016,37174.005,38785.378,40694.418,43357.67,46193.838,47946.176,46244.648,47167.864,48758.716,48961.992,49633.383,51160.415,52507.542,54041.11,56200.904,58992.326,62571.485,62718.576,69551.931,77716.51,79115.736,81354.404,84035.223,86133.58,88374.307,90640.844,93050.926,95556.124
New Zealand,9768.05,10951.159,11869.895,12202.727,13375.611,13831.702,14236.092,14812.403,15278.824,15783.037,16185.397,16086.189,16394.285,17459.132,18577.726,19601.907,20450.947,21038.658,21175.89,22313.098,23639.214,24611.932,25742.955,26892.677,28520.735,30013.78,31435.284,33092.673,33390.245,32916.117,33515.979,34509.461,35855.974,36954.626,38400.957,39343.756,40386.821,41614.389,42012.08,44761.468,44912.2,47698.37,52491.309,54265.415,54350.578,55781.2,57481.092,59260.121,60975.782,62788.981,64728.907
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2333.677,2450.605,2582.559,2660.784,2735.484,2911.197,3037.733,3133.817,3142.142,3219.191,3413.228,3596.979,3821.694,4070.732,4236.185,4050.078,4226.462,4529.092,4769.536,5037.228,5314.891,5563.343,5811.748,6126.156,5864.41,5918.088,6227.678,7071.007,7752.578,8298.788,8708.574,9081.754,9401.994,9757.843,10135.483,10540.9,10975.963
Niger,634.505,670.452,702.97,678.673,565.586,608.322,639.228,635.32,681.335,692.95,687.662,685.252,691.363,686.225,689.797,697.261,686.411,684.417,734.625,717.233,698.932,739.234,759.315,762.562,757.282,807.638,849.543,866.807,916.531,905.136,957.234,961.98,1041.771,1073.013,1119.705,1134.831,1165.516,1198.809,1258.698,1399.988,1466.542,1545.922,1784.625,1825.829,1989.384,2095.238,2195.144,2293.763,2383.814,2481.128,2586.808
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2490.337,2487.582,2526.176,2551.958,2538.864,2565.565,2641.13,2685.637,2704.478,2678.692,2808.381,2975.995,3365.172,3650.89,4022.843,4313.575,4610.785,4937.806,5241.907,5552.372,6074.862,6323.489,6533.085,6815.155,7179.145,7251.712,7026.409,7036.674,7158.171,7551.394,7414.775,7588.479,8303.635,8712.587,9100.094,9488.156,9860.707,10211.059,10564.696,10946.546,11357.629
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6469.794,6096.777,6083.78,6106.711,6249.748,6423.082,6682.581,7040.647,7497.945,7407.292,7613.645,7918.012,8526.561,9289.242,10123.368,11134.113,12039.043,12148.171,12790.327,13421.052,13662.038,14353.805,15174.578,15948.574,16611.841,17161.136,18460.456,20222.53,19962.179,22372.553,24697.454,26197.874,27721.242,29509.916,31168.807,32881.994,34646.612,36560.763,38604.44
Norway,13391.358,14839.229,15734.098,16951.126,18574.291,20160.878,21322.157,22105.095,22705.116,23770.448,25037.678,26531.88,27941.748,29243.795,31207.963,33022.652,35135.035,37454.095,38647.136,39713.083,41704.438,43345.855,44352.062,45399.231,48214.511,50702.286,53093.063,55529.258,56094.741,54709.476,55065.779,56081.941,57920.514,58825.807,60363.726,61471.567,62219.875,64426.929,70095.274,70821.832,67047.031,89096.382,97450.209,100062.561,103732.557,106694.122,109528.042,112238.488,114722.381,117386.077,120259.124
Oman,6701.095,7928.438,9386.544,10501.799,11567.457,13666.361,13350.463,12362.456,13469.72,13614.673,16903.961,17881.183,19152.027,20115.441,20678.368,21524.746,22009.186,23265.743,23700.316,23675.32,25265.08,26570.295,26332.592,25829.886,26587.506,27668.091,29269.364,30908.481,33595.788,34613.564,34519.566,32984.163,33270.551,33456.964,33295.843,33875.242,33847.943,33453.068,37749.026,37035.31,35773.912,38829.478,40851.082,40939.23,41335.048,42211.199,43302.067,44260.39,45359.676,46436.096,47475.19
Pakistan,929.237,1049.267,1163.93,1255.545,1315.803,1436.289,1517.359,1602.741,1721.006,1827.516,1927.115,2049.072,2196.315,2237.079,2324.668,2431.56,2574.666,2599.056,2654.952,2738.79,2841.627,2939.319,2989.883,3129.469,3377.82,3671.884,3903.35,4112.755,4272.998,4240.483,4283.33,4403.03,4516.431,4655.283,4786.186,4893.305,5016.639,5212.16,5387.193,5434.295,5435.73,5774.486,6439.846,6535.815,6735.228,6949.899,7189.636,7466.25,7779.258,8115.523,8476.694
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8504.953,9261.136,9770.296,9673.751,10197.182,10734.413,11302.003,11910.34,11683.914,11237.626,11239.925,12221.603,12947.681,12931.378,13654.888,14901.448,15300.533,15048.357,15335.608,15642.562,14907.169,13736.325,14651.71,15386.461,17669.443,18958.274,19990.999,20935.652,21925.777,22877.624,23909.784
Panama,4904.453,5723.316,6252.426,6063.641,6307.58,6677.673,6902.209,6797.284,5967.437,6168.138,6776.889,7504.359,8130.985,8595.988,8844.634,9001.959,9642.733,10230.436,10883.74,11240.201,11570.447,11661.596,11870.316,12376.971,13402.275,14540.636,15969.741,18068.191,19880.037,19912.892,20968.135,23420.693,25249.868,27542.44,28968.425,30433.364,31750.234,33622.392,32534.361,33364.95,27110.191,30989.812,36371.634,39899.221,41485.026,43651.385,45659.394,47703.254,49812.465,52079.968,55179.112
Papua New Guinea,1073.998,1157.827,1211.706,1273.774,1278.622,1333.423,1407.587,1504.428,1556.337,1527.91,1470.798,1615.941,1743.601,1972.108,2168.425,2081.54,2201.191,2043.827,2109.467,2125.425,2068.109,2061.4,2040.351,2215.263,2234.379,2346.61,2423.197,2622.035,2604.24,2735.61,2868.444,2749.484,2792.364,2808.946,3091.334,3167.783,3213.837,3226.699,3135.6,3172.532,2965.982,2939.427,3259.726,3437.116,3580.097,3761.99,3882.135,3985.913,4091.508,4203.928,4324.729
Paraguay,3564.527,4135.727,4204.01,4112.548,4253.607,4425.479,4400.192,4561.783,4861.663,5198.82,5463.664,5690.991,5765.679,6036.401,6333.258,6741.359,6810.134,7057.951,6985.405,6839.543,6695.561,6665.121,6664.274,6998.789,7391.363,7698.148,8227.657,8819.767,9482.437,9422.984,10483.869,11017.207,10990.578,11931.902,12600.546,12903.822,13385.41,14076.17,14237.039,14244.618,14407.541,15487.775,16444.319,17689.077,18664.743,19717.194,20569.215,21399.525,22260.33,23191.404,24199.438
Peru,2988.104,3364.817,3475.689,3197.886,3359.978,3458.538,3866.73,4174.637,3829.816,3373.434,3254.616,3370.808,3362.579,3554.264,4001.599,4309.179,4429.431,4710.617,4661.854,4720.84,4887.239,4966.944,5263.287,5538.205,5917.689,6433.007,7076.294,7834.681,8659.609,8751.263,9525.874,10261.466,11015.415,11766.336,12142.803,12506.985,12926.986,13249.967,13648.572,14181.798,13185.736,15572.481,16962.894,17346.101,18182.093,18980.187,19646.431,20269.892,20905.897,21586.993,22318.962
Philippines,1783.865,1969.751,2114.246,2183.192,2045.639,1908.902,1966.042,2050.372,2215.83,2388.643,2495.169,2509.827,2518.775,2574.227,2681.785,2798.902,2870.724,3003.588,2948.356,3024.713,3230.47,3332.049,3437.004,3609.402,3872.407,4111.514,4380.317,4705.546,4916.131,4931.497,5266.646,5490.738,5882.436,6285.836,6697.194,7080.086,7531.381,8068.549,8650.556,9216.444,8455.74,9100.877,10405.881,11287.754,12090.315,12920.042,13759.704,14672.864,15639.914,16693.094,17840.631
Poland,4863.541,4748.613,4753.993,5143.686,5264.269,5598.46,5874.412,6127.228,6545.468,7054.389,6729.185,6452.546,6716.22,7148.725,7667.951,8355.469,9032.556,9831.811,10432.039,11056.302,11912.759,12330.817,12707.103,13422.839,14496.061,15444.925,16916.118,18564.371,19756.603,20387.467,21352.438,22914.294,23693.15,24262.09,25682.572,27078.398,28192.787,30171.75,32343.463,35875.431,36657.018,41671.129,47214.544,49265.369,52152.773,55340.224,58558.878,61367.047,64239.801,67241.991,70394.585
Portugal,6503.631,7306.094,7877.077,8226.816,8402.561,8786.049,9252.082,10207.744,11143.621,12368.594,13870.153,14856.718,15683.113,15924.972,16462.895,17136.409,17993.867,19024.565,20061.722,21021.185,22161.438,22938.52,23346.364,23497.362,24502.126,25420.848,26582.66,27932.338,28520.149,27773.654,28586.54,28672.505,28137.988,28490.643,29354.18,30207.108,31181.333,32843.841,34725.232,37616.188,35662.774,38690.771,44078.709,46419.453,48014.017,49753.185,51852.636,53630.513,55541.34,57561.511,59728.236
Puerto Rico,6292.299,6904.32,7046.872,7291.847,8033.316,8377.273,9152.157,9739.246,10625.038,11460.191,12214.765,12835.328,13634.052,14502.065,15317.758,16224.391,16768.163,17740.533,18943.979,19879.525,20838.208,23274.83,24118.437,25154.605,26338.867,26663.448,27213.277,27787.936,27964.469,27738.46,28101.436,28910.829,29816.392,30579.218,31247.54,31751.901,32231.669,32937.078,34661.823,37379.839,38284.845,41354.326,45605.528,47444.138,50646.668,51488.639,52387.562,53825.318,55054.623,56494.5,58043.049
Qatar,56086.023,54463.002,49289.381,45257.232,50988.546,43310.308,43625.703,43280.393,45084.861,47485.915,35983.12,35983.03,40267.888,40656.593,42060.005,42576.485,44191.288,55580.37,59617.169,60349.401,63608.654,65955.012,69544.851,70339.419,78926.978,76976.46,86251.919,87908.876,78088.307,84230.748,95907.689,107842.25,108757.812,106802.179,103484.86,99463.85,96375.658,92838.573,102879.592,101336.79,81003.34,106491.281,111378.56,112271.291,116616.235,122283.218,131401.706,143276.106,149956.854,154293.163,161687.503
Romania,5297.62,5770.24,6335.666,6950.653,7602.694,7799.888,8105.107,8324.986,8530.712,8320.957,8138.144,7336.883,6872.62,7182.322,7670.923,8440.878,8984.739,8632.281,8350.6,8411.234,8853.995,9536.404,10516.814,11080.038,12626.575,13718.905,15367.492,17026.95,19425.364,18643.241,18262.911,19569.889,20417.921,20902.287,22222.436,23226.018,24251.608,26867.64,29496.47,33564.51,34273.011,37915.143,42575.211,45183.309,46954.497,48847.461,50726.758,53334.547,56165.233,59345.429,62854.152
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10914.879,10206.925,9104.048,8915.746,8766.582,9055.409,8684.485,9395.434,10618.888,11458.242,12244.785,13465.966,14875.907,16386.165,18330.648,20472.06,21970.97,20371.407,21539.723,22835.371,24135.779,24903.268,25052.746,24709.704,24921.926,25777.891,28448.531,30963.856,31490.815,38638.428,40932.467,44305.104,47430.649,49048.991,50570.616,52159.493,53793.376,55519.254,57363.985
Rwanda,419.804,454.161,453.373,481.346,550.055,572.927,596.091,588.54,590.307,559.419,569.346,546.491,595.44,582.063,372.728,501.879,576.836,643.998,646.554,611.348,659.95,713.54,799.843,813.643,866.35,955.354,1051.557,1137.121,1247.621,1306.362,1376.562,1487.138,1601.269,1665.2,1755.941,1883.816,1968.053,2033.384,2195.429,2412.042,2357.519,2815.159,3189.801,3513.785,3819.878,4100.683,4390.7,4692.623,5012.861,5359.965,5729.287
Saint Kitts and Nevis,2798.732,3190.794,3607.873,3687.562,4210.801,4648.465,5192.382,5797.266,6668.066,7398.847,8157.008,8696.762,9125.631,9722.381,10332.761,10774.647,11466.223,12361.291,12466.387,12969.513,14348.174,15224.716,15549.928,15180.264,16157.79,18238.011,19341.854,19924.772,22514.604,21829.124,22086.66,22780.619,22909.649,24442.055,26551.535,26722.847,27825.042,28170.154,29079.965,30404.587,25340.122,24695.61,28966.493,31430.331,32779.085,34096.36,35401.147,36866.956,38401.213,40123.313,41904.182
Saint Lucia,2497.391,2834.616,3033.838,3238.207,3573.515,4086.636,4693.728,4924.174,5730.094,6417.808,7245.096,7428.721,8080.738,8198.403,8381.208,8570.398,8849.265,8814.451,9344.739,9604.29,9708.127,9491.297,9594.937,10118.035,11059.553,11276.355,12286.969,12779.381,13576.366,13318.825,13467.168,14338.311,14483.655,14337.904,14712.344,14748.287,15389.815,16130.982,17433.286,18710.191,15032.607,19122.25,24658.922,26333.41,28075.334,29257.601,30231.784,31149.074,32049.263,32954.265,33862.644
Saint Vincent and the Grenadines,1834.671,2082.8,2291.858,2414.822,2647.283,2879.353,3080.548,3149.814,3697.509,3876.574,4156.373,4312.416,4686.128,4994.849,5031.568,5529.118,5695.754,5989.592,6296.814,6550.847,6800.594,7058.563,7513.513,8126.28,8646.127,9106.153,9988.291,10567.151,10813.223,10743.203,10403.628,10541.199,10840.516,11326.479,11617.459,12022.688,12598.007,12986.493,13946.354,14433.796,14329.676,15028.349,16895.556,18464.231,19878.891,21235.184,22176.465,23132.061,24116.18,25173.601,26309.576
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2687.816,2696.54,2883.982,3149.875,3360.157,3583.35,3769.601,4119.976,4309.957,4419.625,4633.778,4605.117,4743.381,4986.695,4848.074,4893.873,4982.72,5179.273,5597.522,5728.387,5728.879,5930,5925.169,5813.339,6290.323,7442.819,7897.789,8257.258,8626.374,8945.672,9233.11,9524.596,9834.501
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,57451.554,59995.145,63400.683,68863.053,69032.765,61614.934,57972.393,53467.504,49921.075,49765.573,49707.086,51073.874,52481.67,53289.786,56169.269,59183.15,56761.032,65376.104,75249.08,78107.621,80357.582,82886.405,85217.787,87411.199,89698.708,92161.161,94807.209
Saudi Arabia,37890.363,40676.659,34505.802,30393.999,28788.27,26243.436,25752.886,24345.82,25587.434,25428.632,27491.089,29219.507,30472.976,30530.85,30692.987,30648.266,31434.756,32002.758,32438.103,31871.524,33278.002,33290.938,32736.17,35401.929,38504.258,41020.689,42594.678,43599.199,46030.924,44675.249,45122.15,49184.688,50806.306,50391.065,52041.131,52190.672,51614.76,53120.438,59377.731,59560.093,47478.375,62690.497,71956.61,71623.601,71478.968,74668.069,77484.786,79749.846,82104.939,84607.817,87282.086
