"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.7385563,1.6945967,1.5749083,1.7478242,2.1422963,1.8064321,2.0109679,1.9520077,1.4136722,1.3781688,1.131894,1.4959574,1.7904353,2.0984473,2.6526541,2.4291409,2.6141925,12.002144,13.29505,16.034756,15.155435,18.045365,18.211298,25.602345,23.044509,20.684451,22.965056,24.886618,26.435346,26.099113,33.099795,40.697933,46.818739,52.22973,55.375446,59.347654,57.933485,57.816748,56.995317,55.801769,54.432402,54.779636,52.863889,50.879924,67.252531,66.252212,55.327092,53.194463,no data
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.3695315,3.3045896,3.4899672,4.719096,6.2433316,5.5812857,5.6910206,6.3103897,5.7542682,6.0055017,6.6559553,8.0735068,7.8927987,10.382645,15.367485,19.76401,20.195838,22.128699,22.391099,30.02291,39.431657,46.369794,54.544723,60.732517,64.680067,73.129233,83.783627,103.18239,121.3171,132.32855,126.95049,121.01401
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.443993,9.7185272,11.437439,11.043403,11.490038,11.2427,11.761801,11.95269,11.586122,12.005459,12.019595,13.412196,12.692904,12.752079,14.32979,15.427947,17.285209,20.249969,22.056219,22.29126,23.09418,24.354795,24.419975,24.149412,19.723935,17.885087,18.775481,20.222602,19.069098,19.600741,20.620078,20.652377,9.787677,9.1375379,8.2094618,7.2951994,7.0298093,5.8168471,6.5801769,6.941863,7.4393872,7.7501642,7.9754827,8.1268573,7.7322936,8.3391882,8.0625674,8.2388101,9.1781747,9.5473806,10.675759,12.187998,12.277263,12.830286,13.620301,14.061685,14.246543,13.85419,14.506928,13.926536,no data,no data,no data,no data,no data
Canada,no data,no data,no data,no data,66.959018,75.057672,75.490842,72.963585,72.282666,79.084199,77.854139,78.577734,79.60086,77.879936,79.612802,85.578385,80.975874,85.873868,89.849612,86.620655,86.587311,90.279429,93.639453,95.672371,96.61943,99.311542,100.78297,106.29166,110.52187,114.68075,117.41423,119.99386,116.68011,109.23511,106.07118,107.82718,111.76386,115.30672,121.32115,128.72484,134.81505,141.1408,142.67771,144.75628,142.3366,141.88314,142.04463,145.11713,151.29999,144.60273,143.94157,150.60194,154.75675,151.42296,153.74383,149.68162,154.15568,161.85017,167.43919,183.23571,179.97957,179.4013,184.79489,190.32045,194.14416,209.29623,213.76639,213.59322,216.05081,221.16502,244.50115,230.70209,215.18012,218.06456,218.09733
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.651004,28.411357,28.548667,30.341741,26.444118,24.671643,25.394684,25.219174,24.569346,24.240596,21.737106,14.911593,14.346272,13.60666,16.817081,13.488855,10.243602,10.46538,11.372911,8.1586502,13.715438,11.024109,12.423463,11.955164,10.81259,9.0755161,8.1504859,8.0032139,7.1290504,7.2501236,6.9445149,6.5378158,4.3877808,4.2807513,3.8856614,4.0698512,4.4280407,4.2032021,4.5365854,4.2793438,4.9372412,5.1533823,5.8253106,5.8781044,6.8985828,6.5029992,6.3370007,6.5254275,6.7435365,6.7537403,8.2106954,8.8908833,10.304231,12.801548,12.373106,11.293625,11.892561,10.789613,11.758527,11.130972,11.100088,11.169508,12.339786,no data,no data
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3063528,10.992842,9.5106746,11.320991,10.839655,10.148271,10.626188,13.778176,14.974379,15.236847,11.086628,8.974577,8.6765197,9.1892197,10.731161,13.281943,11.107278,12.276058,14.885702,21.495144,20.664139,11.406713,9.6780336,8.437601,9.6697428,13.467386,16.386942,16.475237,5.9547638,5.5736355,5.652471,5.653174,5.5642508,4.0942157,2.9345834,3.1165418,2.9481924,2.6178077,2.6760719,2.9025606,2.8161655,2.7961381,2.7681573,2.8414786,2.1209388,1.9355748,1.6784432,1.8944765,2.353611,2.9072348,3.1705841,3.4787588,3.965587,4.3444152,5.9334967,6.2014644,9.5759771,8.9917692,8.1279847,7.4064842,7.1211531,8.2189336,no data,no data,no data
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.330522,90.153181,75.079365,62.09645,57.720525,55.087028,62.672269,63.418377,58.02642,61.271449,68.800643,67.681327,72.576894,80.664964,88.262643,95.59256,105.23472,109.30912,112.31383,113.04862,100.76374,93.63038,90.448741,87.670109,92.211492,111.48863,110.08158,102.70921,109.1639,115.82185,124.51585,136.30766,145.51847,142.78877,137.537,143.36856,154.17124,157.83205,146.73086,144.28884,142.08124,139.01126
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,61.560219,70.667384,71.718892,68.110393,71.415328,79.674682,81.066843,79.56159,81.691112,75.294923,74.574184,77.200772,84.341363,90.703559,104.43628,104.66692,97.142281,100.93458,120.54049,114.32252,106.87508,107.0828,104.10307,104.09851,125.60375,136.05163,134.26869,144.26501,152.62451,164.81339,176.84021,183.5165,184.37211,181.99776,183.40858,195.50711,188.21996,193.25214,199.23274,205.59638
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.436435,54.057244,54.24701,53.7812,47.139187,46.294953,48.477323,44.275506,40.747051,39.649254,41.745689,43.447898,43.590896,45.219246,48.873058,50.295995,50.650378,54.608178,60.508429,67.972081,64.121962,62.293974,61.973875,60.64253,69.926901,64.210875,60.741598,57.537678,54.893612
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2213304,5.905306,7.6038342,3.9563863,4.4331529,5.0039761,6.7798655,5.9584213,8.2137446,8.4782861,8.6113291,7.25466,6.5138484,6.3977195,4.4361652,5.3001331,4.2943267,4.9836291,5.2172963,4.2341478,4.2675139,4.6995348,4.0905359,5.1290619,4.9467454,5.3118626,6.0189409,7.1873834,8.4481363,9.1264878,10.609853,11.382215,12.325539,14.374385,14.931978,15.397368,14.950082,14.556875,14.066298,15.21581,15.856765,17.080898,no data
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.65145897,0.93825794,0.74017284,0.7193351,0.74228781,0.52988375,0.60263563,0.78720117,0.92086764,1.2621817,1.5185594,1.9717837,2.0679574,1.3958454,1.1904382,1.0442327,0.71501264,0.61705308,0.52032085,0.51503129,0.44875777,0.37699053,0.37022713,0.48129686,0.64647224,0.55281638,0.44702644,0.41017677,0.16540038,0.18651871,0.22188496,0.24518949,0.21490097,no data,no data,no data,no data,0.15117646,0.46507568,0.39907998,0.71026569,1.012689,1.1074847,1.6816195,2.0741668,3.7760412,4.7991654,3.4702748,3.7951,4.5204751,4.7761216,5.2300916,5.8051254,6.9704248,5.1174118,5.5986151,5.9606668,7.1510527,7.0685992,9.3117199,12.044762,no data
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.593551,12.432841,12.139601,14.366461,14.450923,12.228887,12.511403,12.700424,11.729888,11.572351,11.661289,12.215444,11.921837,12.506629,11.836098,13.840999,16.400571,17.010077,15.4791,13.971507,12.098451,19.304061,25.490942,28.010684,31.568059,33.371421,31.908529,27.882081,15.141899,14.043316,14.922845,14.195144,13.925952,7.6728042,6.5095636,6.9054968,6.6730438,7.0255261,8.3794944,9.5983977,4.1983687,4.4842212,2.5949882,3.280827,2.6659704,2.1995175,1.9942241,2.1428038,3.1793723,4.826075,5.8603839,7.0459713,7.3419491,8.7847361,11.025029,15.215145,17.714078,15.484926,12.830037,12.509962,15.406236,15.225584,14.324012,14.424739,no data
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.076351,28.313875,27.484675,32.198448,36.467158,44.166824,47.445891,45.224538,43.958712,45.881035,48.365894,55.627173,60.517971,54.744096,50.592035,54.963489,54.775315,58.261598,61.107558,62.119273,65.014276,65.530633,66.449214,62.361049,66.896551,62.422103,58.70291,55.550761,55.664719
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.670889,27.608326,28.824104,40.361411,47.703148,49.689112,49.244346,63.765482,74.410912,80.781105,85.810317,92.63606,105.60122,116.67183,125.08946,133.19025,137.56765,135.46295,134.19874,133.8113,132.85924,127.70121,119.28966,110.47189,104.85953,102.45169,111.42387,99.565016,92.408566,86.428782,87.111783
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.116868,90.649636,85.589696,90.452229,99.044075,86.172548,94.509813,88.984395,106.28708,110.26119,113.45833,108.07042,118.3717,131.27263,157.63298,193.19675,174.26472,178.09939,175.42587,169.01527,159.21228,156.4094,155.01342,155.01458,148.59801,154.03564,158.81044,159.38438,233.51523,244.45623,258.11535,284.44649,287.16355,307.03233,312.84391,317.64867,314.74904,315.3114,310.09084,303.04064,304.22935,273.51558,276.58163,257.51787,222.52589,249.51965,252.78375,267.8695,291.00191,306.31205,313.68114,324.48623,328.6886,345.09878,356.55705,350.2218,331.99588,315.41078,293.26574,276.1977,277.00679,248.54148,212.92052,198.84844,185.04173
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.129772,69.347686,76.726511,66.219171,65.095103,61.790974,55.794046,57.529287,52.070753,59.913588,60.045468,64.547687,69.863215,76.958285,81.126852,82.865752,85.412376,88.612869,91.260037,89.443172,85.461475,87.150338,87.560317,90.665227,84.671658,87.836782,89.496723,87.455432,85.617996,87.940381
