"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.7458873,5.3201151,5.482689,6.7516914,10.771872,11.647377,17.15197,20.823119,25.66021,30.623347,40.779866,55.566991,66.184103,60.397985,61.994618,51.40853,42.880834,43.943693,43.208819,42.970715,48.804763,50.920039,45.830559,41.199727,37.92942,39.974157,37.365612,31.691188,31.507621,32.535436
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.4276057,6.1541264,6.7783651,7.2089612,6.9149746,6.4080285,7.6300932,6.7828881,6.8531237,8.1654764,9.423175,8.5726325,9.3736374,9.4586404,8.5727418,8.7373899,9.2554203,11.446063,11.325353,11.783352,11.365872,10.777663,10.243759,10.044929,10.184824,10.107255,9.6809615,10.055666,10.202623,9.881907,10.623433,12.073356,10.152368,11.300265,14.580254,14.34676,16.168827,16.267836,18.321721,17.876335,17.413436,17.757348,17.020685,18.795155,18.342348,19.616134,19.837847,21.774893,21.548291,23.531057,26.60311,25.790133,27.782746,33.782899,36.02219,34.737099,32.393399,30.642128,30.173587,31.378173,30.334982,30.396207,30.791225,no data
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.523805,23.907378,19.66909,23.762063,26.361033,36.478024,44.59392,54.171698,54.601262,57.978608,57.306216,58.493299,60.434273,53.645242,50.749219,51.366104,55.513171,61.53553,76.304963,81.92484,91.75514,93.718205,97.423528,104.09833,101.90657,97.371419,92.699318,105.06853,112.40723,118.34754,122.27276,126.66017,130.75352,131.86429,140.74401,155.04333,153.6999,139.58059,133.3803,134.68941,141.04876,138.02979,129.6925,131.69092,142.20666,147.9033,161.52079,166.60887,161.75471,165.70311,167.81429,168.35706,171.34352,172.26923,172.57103,172.63985,177.20691,185.07769,200.63118,205.60056,208.9673,206.5234,200.65719
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.0560803,9.2979765,9.0553871,10.987284,11.179767,12.282686,15.641517,15.118923,14.796074,11.769829,13.297924,17.103048,10.215882,15.91175,26.608139,33.379546,40.081672,33.805953,37.538914,57.625926,79.909636,79.485998,80.202601,81.306966,103.5804,91.928972,100.59329,81.618579,no data,29.587687,19.625355,19.002904,25.55524,33.247386,34.637764,47.410434,63.894536,55.985843,48.149923,58.018682,58.807345,62.012311,58.973666,53.758772,56.098926,69.730933,66.411024,81.358475,75.044045,59.857142,53.447481,60.419878,67.130624,98.783854,104.35655,103.84764,94.884138,96.430226,12.05733,7.6176865,6.3874954,5.4370773,4.3711571
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53916,8.6593189,3.4130556,5.2769928,5.0222407,4.0987455,3.7626906,4.110888,4.7245108,7.0303833,7.8756063,10.477091,6.0736877,13.541533,12.565214,12.063385,11.120556,13.120398,15.398372,19.779155,22.377403,20.194104,21.012721,23.002572,22.852514,26.167999,23.713713,20.395007,19.62245,22.84429
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.16357499,0.34085695,1.4474593,2.1647689,3.3085719,4.1544684,4.1757858,4.1092759,5.6223344,10.473346,7.345651,7.6061311,8.1244905,6.7493734,5.5767637,5.4458005,6.2100711,5.0126191,5.8130923,8.7657724,15.631817,19.863134,24.614045,29.326848,34.763123,34.125209,37.079209,41.018117,43.028002,41.464103,42.030574,43.121467,44.239405,53.975557,53.66609,54.125225
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.485772,19.386239,25.912258,34.014577,39.110395,48.656595,48.799221,53.543465,66.719378,73.2251,89.52406,111.74726,115.99154,119.56634,142.14537,141.82004,136.12307,114.65896,107.04041,99.83105,91.222034,93.40288,89.909999,83.47114,80.623666,78.828126,72.336636,68.396739,64.118502,68.289233
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.010111,70.33104,68.053238,67.263892,53.444458,52.60463,49.635303,55.758096,58.015786,74.615808,79.64349,113.81276,217.16437,118.5523,142.86729,146.77598,145.02647,159.17785,256.48417,254.66342,192.90256,122.16222,147.68241,89.882917,68.397892,81.69287,98.558017,59.914164,63.519219,56.452816,64.006801,71.897968,74.655569,76.173653,81.390396,91.019137,95.044636,92.300974,88.586717,88.767046,84.127373,75.034033,77.268585,82.930853,78.782246,74.39843,84.186496,90.560589,91.589808,92.977645,99.546685,100.92461,105.01283,107.18781,38.292601,34.482768,34.201834,21.745597,14.403877,13.186198,9.4626871
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.1270822,3.5259009,2.6036873,2.9068574,4.2851435,5.034876,7.062998,7.1169339,10.975999,13.135826,11.3977,13.721298,14.56952,12.58158,13.686506,14.180178,14.184157,14.642863,15.325847,15.023423,17.362218,21.146979,17.484101,15.620617,20.545137,15.678121,14.161324,13.042291,11.836022,12.116199,5.0344913,4.9697724,6.8136358,7.2461501,9.268347,9.8188673,12.094761,12.783146,13.874412,17.815161,18.966448,18.471145,17.895016,18.008755,19.186955,19.739809,21.124031,21.348737,21.620085,21.337419,23.055566,23.507405
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.62921511,0.29324414,0.30536081,0.35417183,0.3976374,0.38781061,0.22461111,0.23405374,0.18821804,0.18832537,0.1944432,0.19803401,0.19232169,0.20129231,0.15634835,0.34066761,no data,0.66604263,1.5884489,1.9473545,3.8797075,2.8497185,1.0159395,0.68777946,7.8628258,4.999545,1.9918355,2.0295033,2.0549175,2.5581694,3.3521158,3.8096701,4.7441323,5.2593749,6.1266499,7.9469632,9.3669852,10.374264,10.046776,11.820774,11.440448,12.744949,13.020665,16.752354,16.976408,14.307872,13.418605,12.899695,14.78743,no data,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.978315,27.650349,21.24269,21.841984,24.162192,26.331291,30.644833,31.414595,30.50752,31.637289,36.101711,42.002985,51.915662,64.859719,83.118307,84.40238,86.502103,79.524285,70.537337,66.78068,64.023133,60.121714,61.182538,64.673602,65.651106,65.909971,65.565518,63.503706,63.777857,61.037276,61.337877,63.749842
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,132.09955,133.54285,154.45746,153.9534,161.45857,164.54799,189.02168,176.04983,176.3894,204.96002,199.53436,208.87198,326.66171,308.86837,346.11159,298.83474,328.71125,347.82768,342.02068,385.54738,382.20138,367.60248,383.54238,422.00308,434.71601,454.37308,456.82815,483.74783,472.14351,440.05157
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.3742382,9.1137305,9.4685798,8.6450501,9.1773663,10.146519,10.009541,9.8139239,10.834296,11.333836,11.222262,10.826401,10.255103,9.5558519,10.034263,11.594831,11.743642,12.695636,14.112215,13.293039,12.436972,12.175941,13.45087,14.397114,14.440666,14.535979,11.687388,11.43331,12.891457,14.258224,13.264094,13.651622,12.389515,9.4698578,7.8565253,8.2831841,7.563907,7.2075379,7.3520425,6.9794572,6.6584811,7.5386724,8.6072745,8.4956383,8.6948353,8.7501178,9.8041103,10.238718,10.227185,9.4304388,9.4372906,10.185543,10.975484,11.468932,11.055067,12.630604,12.925026,14.04697,16.331908,17.778603,18.520556,16.912523,16.439696
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2719674,2.2438195,2.4997492,2.8591984,3.349093,3.714744,3.9883625,3.89645,3.3767967,4.0817622,3.7975224,4.6764348,4.939078,6.2600294,8.4067751,7.4988977,7.0888324,7.2021012,7.2591196,5.4779125,4.4779149,4.404,3.2730286,3.1227266,3.7368641,4.4869216,4.3629244,5.5861587,3.4364157,4.6028799,2.4021144,1.6501027,1.4994514,2.6193947,1.9444358,2.2951487,2.1396459,1.9509149,2.2279898,2.6127304,2.8712358,3.6239289,3.8907701,6.4726301,7.7235651,9.8221728,9.8951603,10.351039,8.8444898,8.0991738,8.6670088,7.3541079,7.293127,6.6717171,7.0948792,7.6276172,7.986283,8.3833652,7.5150842,no data
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.169063,13.896501,14.369069,14.438976,16.113454,19.058877,21.766104,23.23305,24.267549,29.664466,28.941871,32.468692,35.742462,38.3065,44.300115,47.744946,57.728288,66.846182,72.355457,81.603282,85.817906,105.13662,119.10405,107.66245,105.11677,111.97322,122.26736,129.25976,129.24954,128.29058,132.24087,151.98617,173.96869,198.22621,196.81546,179.00645,159.71899,168.08253,164.99076,156.75725,150.53651,149.35007,142.26364,136.13135,133.19165,152.22539,148.34534,150.75858,153.52617,159.15535,157.25324,165.68817,166.23165,161.885,163.995,164.1587,181.69504,174.62276,154.18498,159.12238,157.03907
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.79120517,6.0347882,4.2017183,4.0953283,3.4545414,9.1602942,15.547561,18.826751,23.306043,19.185074,15.97407,13.037182,10.079452,10.661789,11.474893,9.1302527,7.8730321,10.415549,11.357137,11.843035,11.461673,12.868697,15.223834,14.50738,14.787815,18.443491,19.667399,16.548944,22.45115,37.807562,41.499057,52.153917,55.559457,51.440503,45.692856,39.578225,32.590864,28.794476,26.372064,26.446558,27.343374,27.827784,27.586273,28.014487,47.33951,34.659329,30.743048,31.462628,31.456435
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.32921,3.6595768,4.8198511,1.5426786,1.527185,1.4797398,0.51493025,0.54687727,7.2459498,9.5833672,8.8785546,9.0652789,11.154015,10.416753,15.047326,21.484023,23.652385,16.699564,19.344485,18.831602,19.125394,19.393347,19.716956,18.825307,11.361527,12.999126,14.514014,13.745365,10.18635,10.938183,9.5954251,9.347889,10.323672,9.8715726,6.0579809,7.9017364,9.8767824,10.553842,12.820383,13.542758,13.497683,13.483247,14.646225,14.857124,16.866093,14.6819,15.321563,16.109463,11.778182,16.278086,17.867665,18.259979,19.411356,20.782441,21.95325,24.882561,26.31228,25.853962,25.532128,24.41026,25.896056,28.207915,28.88549,27.119515,26.368576
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.89851,16.064651,17.234601,19.222579,22.963662,24.31778,30.228251,37.218843,43.886421,65.071343,70.333431,74.702382,75.6883,63.834874,60.884294,47.497028,41.112128,36.133317,33.730532,34.948071,40.077688,42.663493,48.888594,59.769387,66.806132,73.714218,78.087902,82.732175,85.760094,92.77364,104.75249,113.76716,118.0834,125.15402,128.16872,128.10986,135.98681,137.29504,142.76652,144.92127,135.9199,142.76508,145.50889,146.04932,150.57237,160.27349,159.59001,180.59776,194.91854,216.97123,216.98946,227.32482,222.03222,207.9723,201.89864,195.49377,195.12072,197.76,203.93169,223.07149,226.13229,208.46296,209.45977,206.16998,206.83376
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.2305508,2.3243652,2.2827065,2.4432546,2.1810599,3.7412134,5.2492621,6.6292577,9.0369723,8.6293324,9.374045,12.998356,11.439445,19.004852,18.802788,22.15649,23.840903,20.343772,20.952096,21.095963,22.226308,21.715969,21.865804,21.392435,19.785959,19.34648,19.586647,19.355701,24.477392,18.559975,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.401481,14.617423,16.299179,19.208394,19.977723,18.275403,16.593447,16.766381,18.34584,19.5203,21.115578,20.29891,21.066574,22.041121,22.723541,no data,no data,no data,no data,no data
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.444628,73.112403,75.195681,80.121796,86.245249,90.16541,92.338191,87.738408,90.437305,84.395169,84.212689,76.208134,80.451205,100.31667,86.386902,75.99646,no data,no data
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36.343018,37.92714,32.023883,25.531298,28.583515,33.555527,37.277276,35.831528,21.182285,26.727193,27.805165,35.125468,41.923472,42.665603,47.167491,46.906637,38.613536,33.043676,30.24635,25.677883,23.931463,22.613348,23.45328,23.718229,22.843717,22.976151,24.420672,26.946705,28.596003,28.854043,28.534961,30.598994,30.580749,33.704371,35.208314,38.359482,41.467647,41.403776,40.652525,40.072975,42.799699,40.25627,38.707853,37.113385,39.041554
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.56122,27.24106,28.06129,29.904438,32.096493,30.747954,29.104087,21.057743,16.484495,18.263416,20.020697,21.006183,21.313086,20.030285,21.345273,20.966161,19.683722,19.537658,19.866742,21.370548,23.132978,22.988779,23.141064,20.195743,22.835527,24.169844,23.427361,no data,no data,no data
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.8173272,5.8282605,4.9794094,3.67413,6.6636229,7.6733236,6.8905693,13.815641,11.743514,12.338641,14.658071,17.086652,20.226176,21.138627,23.364303,27.229684,36.626042,36.210552,35.677757,27.674478,27.650641,31.780111,33.399424,28.634246,26.172966,22.205412,19.534482,19.141744,19.902304,23.033613,23.166051,22.088739,20.548877,24.174325
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.006395,13.234786,6.5236487,10.797464,8.0536372,8.1961817,4.8012357,9.0001569,5.2830756,5.6345829,8.9294274,15.276836,27.9875,29.400876,31.04909,33.187665,46.037288,45.018508,46.485491,39.498326,53.106772,49.180322,62.917911,63.399687,62.330966,85.395798,79.948489,81.403066,78.348797,77.812575,76.399301,66.011943,61.04,no data
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,9.9669935,9.233455,9.1374611,11.293755,11.202932,10.706549,9.9495996,9.5660197,9.9961356,10.031499,10.905248,10.450804,9.9432293,10.400992,11.249675,12.66473,12.559225,13.969907,14.578998,14.661765,14.319277,14.130936,13.392692,14.861709,15.738205,16.914349,17.111292,15.909582,no data,no data,no data,no data,14.401805,18.129396,20.65564,22.25639,22.578182,25.77911,23.523034,41.35796,43.146728,46.550482,48.080348,46.807645,45.623358,43.331708,42.298258,44.799281,45.93059,54.328483,58.957363,61.496971,64.99408,68.249443,69.198754,66.671511,67.129973,64.238565,65.504361,64.666513,63.36694,63.988187,71.651959,66.52399,68.764346,63.086756,61.379002
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2037326,3.8294486,2.7978732,10.3233,11.742856,8.399558,8.3179178,8.2974318,7.3012799,8.7818307,9.4767472,10.289024,11.752648,8.7483707,8.8189673,7.7674913,6.5924185,8.5795165,9.5908244,9.8283332,13.699866,19.282672,21.199632,20.417308,21.905734,25.776241,29.65148,31.378463,30.622834,23.731185,21.18364,20.33235,22.809179,21.841775,19.466086,17.412317,17.072949
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.8256065,6.5749981,6.7543628,4.3331895,2.9410363,1.7958505,2.1623701,1.812922,1.8374477,2.0985646,4.5083256,4.3682498,5.4798191,5.2462011,3.2845974,3.7655763,5.6818554,6.8849854,8.5394317,6.5915879,6.3444079,6.870542,6.2010938,6.1648446,5.3043606,5.8259149,5.7153984,5.0181543,3.3823407,2.8610432,5.1623575,7.0240876,7.7104042,6.784378,6.3795016,7.9637414,9.6641792,10.306282,9.9680449,8.1326737,8.9253162,11.149662,11.077738,4.1075006,4.470223,4.6764503,3.9054173,3.4607705,3.1258699,3.5489687,5.0926864,7.3233116,9.7268796,13.043531,15.460929,17.992466,21.874993,24.238377,25.717908,26.171245,27.193624,no data,no data,no data,no data
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.88796681,0.88082268,0.93460571,0.85827137,1.0279639,1.3301525,1.1838355,1.2951873,1.6667701,1.8136606,2.0284976,2.8972466,2.7819432,3.2298814,3.3392848,3.6128798,3.0875119,3.596039,4.3022534,4.8124087,6.4455169,6.9052158,6.7601459,5.9040044,6.0392361,6.7711208,7.4574005,7.3832805,8.4169505,9.3261754,9.0731424,9.4249729,9.5236795,10.37735,13.312271,16.429238,16.615832,16.998614,20.525573,20.697797,22.030679,22.715595,19.716763,22.614443,23.264441,24.72491,28.57774,32.221405,44.844681,51.481325,47.48154,45.960921,48.309074,50.106922,54.131922,56.591518,69.532676,68.88715,75.945622,78.610907,88.108637,103.26536,94.086017,91.372218,90.520377
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.275071,61.495726,66.071586,66.863797,68.973465,71.175591,76.93214,81.927097,75.795509,78.242207,78.451902,82.573877,91.738695,97.192746,98.453012,104.57208,116.81149,132.13647,143.87782,148.40241,150.18956,149.59185,151.90723,152.59183,152.14691,159.7238,167.35666,180.09121,184.33447,193.06091,196.15062,203.66323,206.9536,213.05138,213.15842,221.7828,227.80285,240.22652,253.68386,260.55317,257.21341,257.33097,274.9379,275.42633,280.91,276.3254,275.64353,278.91951,292.37654,309.64399,324.07025,333.56734,337.38437,346.38218,346.30143,349.25858,344.98649,335.01441,319.96283,335.78803,321.42146,301.2136,277.84543,264.04051
New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.152453,30.35089,28.168798,27.546488,27.015264,29.117013,29.794319,28.375202,30.181534,30.267743,31.167885,29.297562,29.02613,35.487578,39.392769,37.823351,38.443504,43.338206,46.592445,49.424858,49.878399,59.947913,61.454389,74.535453,83.586424,94.73637,104.21187,101.1139,96.965372,94.951317,98.885016,105.07862,108.63613,112.28187,112.80852,123.89314,122.25274,134.43761,138.43923,141.41013,147.19631,144.45412,148.50996,150.23811,159.72381,172.90677,184.06487,190.85108,198.98615,195.03337,186.3903,177.71746,178.65823,175.14205,173.43615,174.7976,176.36523,173.47293,172.34767,170.56122,174.49259,170.738,164.99544,159.0303,160.03956
Nicaragua,57.586038,56.824888,60.888202,76.135598,102.04821,103.95305,113.49663,96.601076,98.730455,80.489558,83.196191,80.572091,80.618732,79.676791,69.472514,63.627024,60.239882,50.426615,42.865165,33.718403,27.923766,22.904209,18.786002,18.849467,19.445257,18.160468,18.747834,18.491076,20.934718,36.967431,37.219429,40.483428,42.55478,21.577699,13.524977,12.472634,12.512662,10.125972,11.966975,5.1112951,11.000669,7.1214073,10.452761,13.051828,15.698787,16.547063,12.866244,16.171557,19.807077,23.141115,23.515347,13.67067,15.082547,17.631393,19.578726,22.550281,26.387824,30.121953,28.140507,25.380803,24.265003,23.948911,26.742056,29.369408,31.170966,34.144892,36.693884,39.083745,35.967856,29.834034,27.632453,25.429384,26.179615,26.705977,29.014053
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.600293,5.8572109,7.8284745,8.2589579,10.015623,11.863388,9.9058058,9.4738091,12.244783,10.681327,9.6030844,9.2551641,10.0706,11.959174,18.466877,19.051674,13.09681,12.507921,16.660507,19.272686,19.097437,19.753332,19.069372,19.555919,19.267554,17.761146,19.636227,18.3228,17.89674,14.716023,13.969447,13.055659,12.966828,12.044267,10.647268,5.8602451,5.6477964,4.2667913,5.0770303,4.90053,6.190778,5.9021431,4.4036413,4.5694392,4.3409393,3.826515,3.7515661,6.9680515,7.9620407,8.8002366,8.928792,9.7789932,9.8604291,10.353674,10.588447,11.160979,11.411568,11.29645,10.089478,11.063505,11.479631,12.696869,12.39179,10.943908,10.098304
Nigeria,no data,0.35016309,0.53112074,0.53733837,0.55715981,0.80266913,1.0028015,1.2680318,1.3843949,1.3348045,1.6105435,1.5991681,2.1831126,2.4535564,2.6332747,2.6630829,2.8481186,3.1402664,2.5134274,1.985053,1.5670208,1.9471129,2.0948589,2.2157385,1.7722533,2.3213744,2.6148252,3.1067797,3.718595,3.6513018,4.3098484,5.4419557,6.0596076,5.8463655,5.9031545,5.6939805,7.155051,6.2378929,5.7121394,4.7926258,4.7026496,4.7449631,7.8128485,6.6530202,7.7010262,6.6713846,6.3848537,7.2358496,7.6490424,8.0852964,8.0793278,9.5667634,7.8026551,8.3839384,8.235943,8.2587039,7.9998754,13.455798,18.178883,18.598415,12.8212,10.593337,10.275459,11.309515,13.054144,12.920682,14.438556,12.630723,9.8506914,10.107525,10.947619,11.886323,12.586189,16.722838,no data
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.965871,48.375568,60.366042,71.160681,75.245281,76.42291,77.65149,82.827274,82.197196,85.186762,88.336217,90.709515,91.561994,91.57118,92.808249,97.512486,98.162514,97.598965,93.89751,96.075318
Norway,no data,no data,no data,118.98136,119.2778,116.76067,106.27025,105.42453,109.95024,111.23296,117.20041,118.9888,119.17826,118.18247,116.15919,111.88168,114.34377,113.27579,115.36022,120.16019,114.92886,115.33245,117.39482,116.08739,112.76838,119.72527,124.33401,134.04054,133.80814,130.24303,124.38018,122.17455,130.05083,131.94131,139.35864,142.93157,161.13828,169.06163,175.41019,175.36426,170.78129,158.88749,164.36361,156.07599,146.61312,142.09299,139.35239,150.47768,165.25317,164.22907,156.30846,164.00059,173.62687,176.37778,181.56715,180.92054,182.46582,200.70825,214.72837,224.24721,224.46169,217.28827,224.42584,222.2041,227.90864,248.58914,255.4306,243.91369,232.54949,246.45889,276.42478,237.81195,200.69129,231.04674,232.95127
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2710999,6.7376467,15.75186,13.390973,13.822679,16.780856,19.900765,16.409024,13.153477,12.774751,13.715254,16.268091,17.832196,19.132483,21.833393,21.114568,24.133267,23.262073,20.970684,21.815346,21.886224,23.044204,25.139033,26.025719,26.26687,34.840026,52.418568,52.489658,42.671082,45.300312,44.010949,41.873694,41.963327,40.581786,38.806594,45.854655,41.93914,54.60616,48.3274,45.471703,45.09319,45.541465,47.704275,68.850259,79.360104,84.979771,78.618585,85.621144,101.25927,91.469072,71.857865,75.981558,79.321977
Pakistan,3.2962495,3.591332,3.2109352,3.2567326,4.1129313,4.6105575,4.1267101,4.0120877,4.1349074,4.2064207,5.2060837,5.4064632,7.0105785,8.7250877,11.148465,11.96326,13.586463,14.378449,14.678208,14.77366,16.707125,16.153659,18.718993,16.223742,12.221402,11.473712,13.541424,14.167934,13.73194,14.32805,13.404271,13.501004,13.798507,14.900027,15.093341,17.314594,18.563478,17.228195,16.433612,15.545242,14.964894,13.827819,14.630375,15.211792,14.871162,14.995737,16.116757,16.279432,17.368167,17.818835,17.731886,16.994017,16.321851,17.335683,20.024285,20.979938,22.754214,22.960776,24.626655,22.044534,20.658658,17.83362,16.057491,14.897781,13.857025,15.3678,17.496124,19.540713,22.138753,23.392352,23.910807,23.472252,22.265305,20.220856,18.607707
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.568463,10.020553,9.6592998,8.7457283,7.8442422,7.4108953,7.5444256,9.7939375,11.839387,12.44428,12.748707,15.49687,16.770115,18.813007,19.431813,16.563408,19.08189,18.68918,17.081297,13.802157,11.030304,10.627523,9.5171246,8.7552569,11.307183,13.234703,11.527312,11.214288,10.738256,10.120847,8.6937143,8.4755629,9.2753712,11.326153,13.84652,16.145694,18.259624,17.886015,17.53402,18.873751,20.625841,17.865765,17.602142,17.39987,15.024654,14.758672,14.500232,15.339596,14.095699,12.375509,14.354079,13.357812
Paraguay,no data,no data,9.0489712,9.3597782,11.383899,15.477207,13.643823,11.082168,10.209119,10.701202,9.1492915,5.1317433,6.0558358,7.1372808,8.7333268,10.353992,12.956432,15.934242,18.284972,21.568917,24.431438,24.743504,23.973209,24.302782,21.186708,21.727276,22.785458,23.176796,23.957011,23.170781,23.561324,21.831699,22.863328,21.652675,19.70116,16.665516,16.697184,15.124844,18.423127,18.236274,19.749987,19.745343,23.298267,26.980869,31.403986,27.908553,28.790541,30.848362,27.339315,27.069705,31.02167,30.69075,29.388179,23.298649,21.096356,18.994781,16.349306,17.085142,20.995359,23.853575,27.466501,30.995962,33.986549,35.969289,39.859916,45.213869,42.991217,42.602169,45.240921,49.663288,53.58985,53.514434,54.192315,55.057455,59.396371
